"Echinorhynchus_salmonis"	"Proteocephalus_sp."	"Centrovarium_lobotes"	"Camallanus_oxycephalus"	"Neoechinorhynchus_tenellus"	"Eubothrium_sp."	"Hysterothylacium_brachyurum"	"Spinitectus_carolini"	"Leptorhynchoides_thecatus"	"Pomphorhynchus_bulbocolli"	"Crepidostomum_cooperi"	"Cryptogonimus_chili"	"Azygia_sp."	"Bothriocephalus_claviceps"	"Dichelyne_cotylophora"	"Argulus_sp."	"Bunodera_luciopercae"	"Crepidostomum_cornutum"	"Homalometron_armatum"	"Glossidium_geminum"	"Centrovarium_sp."	"Neochasmus_sp"	"Diplostomum_spathaceum"	"Diplostomum_sp."	"Neascus_sp."	"Posthodiplostomum_sp."	"Gyrodactylus_sp."	"Haplobothrium_globuliforme"	"Corallobothrium_sp."	"Proteocephalus_exiguus"	"Proteocephalus_perplexus"	"Proteocephalus_pinguis"	"Triaenophorus_stizostedionis"	"Bothriocephalus_sp."	"Glaridacris_sp."	"Spinitectus_gracilis"	"Haplonema_immutatum"	"Raphidascaris_sp."	"Cucullanus_sp."	"Spinitectus_sp."	"Rhabdochona_sp."	"Echinorhynchus_sp."
"Catostomus_commersonii"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Percopsis_omiscomacush"	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fundulus_diaphanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pimephales_notatus"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cottus_bairdii"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pomoxis_nigromaculatus"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Prosopium_cylindraceum"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sander_canadensis"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyprinella_spiloptera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Oncorhynchus_tschawytscha"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Lepomis_macrochirus"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acipenser_fulvescens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
