"Bombus_sp1_M_PL_020"	"Carposcalis_carinata"	"Limnophyes_sp1_M_PL_020"	"Rhamphomyia_filicauda"	"Sciari_sp1_M_PL_020"	"Smittia_sp1_M_PL_020"	"Boreellus_atriceps"	"Peleteria_aenea"	"Smittia_velutina"	"Dictyna_borealis"	"Eupogonomyia_groenlandica"	"Xysticus_deichmanni"	"Anarta_richardsoni"	"Boloria_chariclea"	"Boloria_polaris"	"Bryobia_praetiosa"	"Colias_hecla"	"Crymodes_exulis"	"Lasiestra_leucocycla"	"Metasyrphus_chillcotti"	"Paraphaenocladius_despectus"	"Periscepsia_sp1_M_PL_020"	"Rhamphomyia_sp1_M_PL_020"	"Scatophaga_apicaulis"	"Stenomacrus_sp1_M_PL_020"	"Tachinidae_sp1_M_PL_020"	"Aedes_sp1_M_PL_020"	"Calliphoridae_sp1_M_PL_020"	"Ceratopogon_sp1_M_PL_020"	"Fucellia_pictipennis"	"Lycaena_feildeni"	"Nematus_sp1_M_PL_020"	"Olethreutes_inquietana"	"Phalacrodira_nigropilosa"	"Plebius_aquilo"	"Pogonomyoides_segnis"	"Rhamphomyia_hoeli"	"Rhamphomyia_sp2_M_PL_020"	"Spilogona_dorsata"	"Spilogona_sanctipauli"	"Unidentified_sp1_M_PL_020"	"Unidentified_sp2_M_PL_020"	"Unidentified_sp3_M_PL_020"	"Acarina_sp1_M_PL_020"	"Aedes_impiger"	"Aedes_nigripes"	"Allopiophila_fulviceps"	"Apanteles_sp1_M_PL_020"	"Arctoseius_cetratus"	"Atractodes_sp1_M_PL_020"	"Cecidophyes_sp1_M_PL_020"	"Ceratopogon_sp2_M_PL_020"	"Chalcidae_sp1_M_PL_020"	"Corynoneura_scutellata"	"Cricotopus_sp1_M_PL_020"	"Cryptus_arcticus"	"Culicoides_sp1_M_PL_020"	"Dolichopus_dasyops"	"Entomobrya_comparata"	"Erigone_pyschrophila"	"Forcipomyia_sp1_M_PL_020"	"Helophilus_borealis"	"Ichneumonidae_sp1_M_PL_020"	"Lasiopiophila_pilosa"	"Microspectra_sp1_M_PL_020"	"Microspectra_sp2_M_PL_020"	"Oresbius_sp1_M_PL_020"	"Orthocladiinae_sp1_M_PL_020"	"Pardosa_glacialis"	"Pectinarctica_stylata"	"Pegomyia_sp1_M_PL_020"	"Phormia_terraenovae"	"Phytomyza_erigerontophaga"	"Procladius_sp1_M_PL_020"	"Psectrocladius_sp1_M_PL_020"	"Rhamphomyia_ursinella"	"Saotis_sp1_M_PL_020"	"Scatophaga_multisetosa"	"Scatophaga_sp1_M_PL_020"	"Spilogona_denudata"	"Spilogona_extensa"	"Spilogona_melanosoma"	"Spilogona_obsoleta"	"Spilogona_tornensis"	"Spilogona_tundrae"	"Sympistris_labradoris"	"Tarentula_exasperans"	"Tipula_arctica"	"Tridymus_sp1_M_PL_020"	"Unidentified_sp4_M_PL_020"	"Unidentified_sp5_M_PL_020"
"Stellaria_longipes"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Erysimum_pallasii"	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Saxifraga_hirculus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cassiope_tetragona"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cerastium_alpinum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Draba_sp1_M_PL_020"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Erigeron_compositus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Erigeron_eriocephalus"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pedicularis_capitata"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ranumculus_sulphureus"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
