"Eucera_gracilipes"	"Lasioglossum_evylaeus"	"Amegilla_sp1_M_PL_058"	"Anthophora_alluardii"	"Apis_mellifera"	"Amegilla_canifrons"	"Anthophora_orotavae"	"Unidentified_sp1_M_PL_058"	"Unidentified_sp2_M_PL_058"	"Unidentified_sp3_M_PL_058"	"Amegilla_quadrifasciata"	"Lucilia_sp1_M_PL_058"	"Unidentified_sp4_M_PL_058"	"Unidentified_sp5_M_PL_058"	"Unidentified_sp6_M_PL_058"	"Hylaeus_sp1_M_PL_058"	"Unidentified_sp10_M_PL_058"	"Unidentified_sp11_M_PL_058"	"Unidentified_sp12_M_PL_058"	"Unidentified_sp13_M_PL_058"	"Unidentified_sp14_M_PL_058"	"Unidentified_sp7_M_PL_058"	"Unidentified_sp8_M_PL_058"	"Unidentified_sp9_M_PL_058"	"Andrena_vucana"	"Camponotus_rufoglaucus"	"Cyclyrius_webbianus"	"Macroglossum_stellatarum"	"Sphecodes_marginatus"	"Tachina_canariensis"	"Thysanoptera_sp1_M_PL_058"	"Unidentified_sp15_M_PL_058"	"Unidentified_sp16_M_PL_058"	"Unidentified_sp17_M_PL_058"	"Unidentified_sp18_M_PL_058"	"Unidentified_sp19_M_PL_058"	"Unidentified_sp20_M_PL_058"	"Unidentified_sp21_M_PL_058"	"Unidentified_sp22_M_PL_058"	"Unidentified_sp23_M_PL_058"	"Unidentified_sp24_M_PL_058"	"Unidentified_sp25_M_PL_058"	"Unidentified_sp26_M_PL_058"	"Unidentified_sp27_M_PL_058"	"Unidentified_sp28_M_PL_058"	"Unidentified_sp29_M_PL_058"	"Unidentified_sp30_M_PL_058"	"Unidentified_sp31_M_PL_058"	"Unidentified_sp32_M_PL_058"	"Unidentified_sp33_M_PL_058"	"Unidentified_sp34_M_PL_058"
"Euphorbia_obtusifolia"	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
"Argyranthemum_frutescens"	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
"Convolvulus_floridus"	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
"Euphorbia_canariensis"	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lavandula_buchii"	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Galactites_tomentosa"	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Plocama_pendula"	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Bituminaria_bituminosa"	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Echium_plantagineum"	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Echium_aculeatum"	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lotus_glaucus"	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oxalis_pes-caprae"	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Scandix_pecten-veneris"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
"Sideritis_argosphacelus"	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceballosia_fruticosa"	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sideritis_nervosa"	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
