"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"	"Cystidicola_farionis"	"Acanthocephalus_dirus"	"Ichthyocotylurus_sp."	"Crepidostomum_farionis"	"Spinitectus_gracilis"	"Pomphorhynchus_bulbocolli"	"Diplostomum_sp."	"Eubothrium_salvelini"	"Diphyllobothrium_sp."	"Capillaria_salvelini"	"Echinorhynchus_lateralis"	"Ichthyocotylurus_erraticus"	"Discocotyle_sagittata"	"Cyathocephalus_truncatus"	"Triaenophorus_crassus"	"Cystidicoloides_ephemeridarum"	"Ergasilus_nerkae"	"Clinostomum_complanatum"	"Proteocephalus_parallacticus"	"Hysterothylacium_brachyurum"	"Cystidicola_stigmatura"	"Myxobolus_sp."	"Thelohanellus_notatus"	"Allocreadium_lobatum"	"Crassiphiala_bulboglossa"	"Posthodiplostomum_minimum"	"Ichthyocotylurus_pileatus"	"Proteocephalus_exiguus"	"Proteocephalus_laruei"	"Diphyllobothrium_laruei"	"Ligula_intestinalis"	"Proteocephalus_sp."	"Rhabdochona_canadensis"	"Neoechinorhynchus_crassus"	"Neoechinorhynchus_rutili"	"Leptorhynchoides_thecatus"	"Echinorhynchus_sp."	"Neoechinorhynchus_tumidus"	"Ergasilus_caeruleus"	"Salmincola_extumescens"	"Henneguya_sp."	"Myxobolus_bibullatum"	"Crepidostomum_cornutum"	"Azygia_angusticauda"	"Lissorchis_attenuatus"	"Sanguinicola_sp."	"Lyrodiscus_rupestris"	"Acolpenteron_catostomi"	"Octomacrum_lanceatum"	"Gyrodacylus_sp."	"Pseudomurraytrema_copulatum"	"Glaridacris_catostomi"	"Eubothrium_crassum"	"Bothriocephalus_sp."	"Diphyllobothrium_ditremum"	"Diphyllobothrium_latum"	"Proteocephalus_ambloplitis"	"Triaenophorus_nodulosus"	"Triaenophorus_sp."	"Spinitectus_carolini"	"Rhabdochona_decaturensis"	"Raphidascaris_acus"	"Neoechinorhynchus_cylindratus"	"Neoechinorhynchus_tenellus"	"Octospinifer_macilentus"	"Actinobdella_inequiannulata"	"Myzobdella_lugubris"	"Ergasilus_centrarchidarum"	"Ergasilus_luciopercarum"	"Ergasilus_sp."	"Chloromyxum_sp."	"Henneguya_zschokkei"	"Myxobolus_algonquinensis"	"Myxobolus_burti"	"Myxobolus_grandis"	"Zschokkella_sp."	"Bunodera_sacculata"	"Crepidostomum_cooperi"	"Crepidostomum_isostomum"	"Crepidostomum_lintoni"	"Plagiocirrus_sp."	"Proterometra_macrostoma"	"Bucephalus_elegans"	"Acanthostomum_sp."	"Skrjabinopsolus_manteri"	"Phyllodistomum_coregoni"	"Phyllodistomum_lysteri"	"Phyllodistomum_staffordi"	"Phyllodistomum_superbum"	"Phyllodistomum_sp."	"Sanguinicola_occidentalis"	"Bucephalus_sp."	"Centrovarium_lobotes"	"Neascus_brevicaudatus"	"Neascus_sp."	"Tylodelphys_scheuring"	"Uvulifer_ambloplitis"	"Apophallus_brevis"	"Ligictaluridus_pricei"	"Tetracleidus_banghami"	"Tetracleidus_stentor"	"Urocleidus_aculeatus"	"Urocleidus_adspectus"	"Urocleidus_alatus"	"Urocleidus_baldwini"	"Urocleidus_ferox"	"Dactylogyrus_amphibothrium"	"Dactylogyrus_banghami"	"Dactylogyrus_bifurcatus"	"Dactylogyrus_cornutus"	"Dactylogyrus_hemiamphibothrium"	"Dactylogyrus_sp."	"Pellucidhaptor_catostomi"	"Diclybothrium_armatum"	"Octomacrum_microconfibula"	"Gyrodactylus_bairdi"	"Gyrodactylus_dechtiari"	"Anonchohaptor_anomalus"	"Anonchohaptor_sp."	"Tetraonchus_monenteron"	"Tetraonchus_variabilis"	"Glaridacris_laruei"	"Isoglaridacris_bulbocirrus"	"Monobothrium_hunteri"	"Eubothrium_rugosum"	"Bothriocephalus_cuspidatus"	"Dibothrium_infundibuliforme"	"Corallobothrium_fimbriatum"	"Proteocephalus_pearsei"	"Proteocephalus_pinguis"	"Proteocephalus_salvelini"	"Diphyllobothrium_oblongatum"	"Sparganum_pseudosegmentatum"	"Camallanus_oxycephalus"	"Capillaria_catostomi"	"Dichelyne_cotylophora"	"Truttaedacnitis_clitellarius"	"Cystidicola_sp."	"Cystidicoloides_sp."	"Philometroides_nodulosa"	"Philonema_oncorhynchi"	"Haplonema_hamulatum"	"Rhabdochona_cotti"	"Rhabdochona_ovifilamenta"	"Rhabdochona_sp."	"Contracaecum_sp."	"Spiroxys_sp."	"Haplonema_sp."	"Unidentified_acanthocephalans_(spiny-headed_worm)"	"Neoechinorhynchus_cristatus"	"Neoechinorhynchus_notemigoni"	"Neoechinorhychus_sp."	"Neoechinorhynchus_sp."	"Piscicola_milneri"	"Piscicola_punctata"	"Ergasilus_cotti"	"Achtheres_pimelodi"	"Salmincola_extensus"	"Salmincola_inermis"	"Salmincola_lotae"	"Salmincola_siscowet"	"Salmincola_sp."
"Coregonus_artedi"	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
"Catostomus_commersonii"	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"Notropis_hudsonius"	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Catostomus_catostomus"	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ambloplites_rupestris"	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Gymnocephalus_cernuus"	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oncorhynchus_gorbuscha"	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Perca_flavescens"	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Prosopium_cylindraceum"	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Salvelinus_namaycush"	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
