"Apis_mellifera"	"Phelsuma_ornata"	"Unidentified_sp1_M_PL_011"	"Leptotes_pirithous"	"Syrphid_sp1_M_PL_011"	"Unidentified_sp2_M_PL_011"	"Unidentified_sp3_M_PL_011"	"Xylocopa_fenestrata"	"Phalantha_phalantha"	"Unidentified_sp4_M_PL_011"	"Lucilia_sp1_M_PL_011"	"Ornidia_obesa"	"Protaetia_aurichalcea"
"Gastonia_mauritiana"	1	1	1	1	0	0	0	0	0	1	1	1	1
"Pemphis_acidula"	1	1	1	1	0	0	0	1	1	0	0	0	0
"Stachytapheta_jamaicensis"	1	0	1	1	1	0	1	0	1	0	0	0	0
"Turnera_angustifolia"	1	0	1	0	0	1	1	1	0	0	0	0	0
"Scaevola_sericea"	1	1	0	0	0	1	0	1	0	0	0	0	0
"Thespesia_populnea"	1	1	1	0	0	0	1	0	0	0	0	0	0
"Tourneortia_argentea"	1	1	0	0	1	0	0	0	0	1	0	0	0
"Leucaena_leucocephala"	1	1	1	0	0	0	0	0	0	0	0	0	0
"Morinda_citrifolia"	1	1	0	1	0	0	0	0	0	0	0	0	0
"Dracaena_concinna"	0	1	0	0	1	0	0	0	0	0	0	0	0
"Hibiscus_tiliaceus"	1	1	0	0	0	0	0	0	0	0	0	0	0
"Passiflora_suberosa"	1	1	0	0	0	0	0	0	0	0	0	0	0
"Suriana_maritima"	0	0	0	1	0	1	0	0	0	0	0	0	0
"Ipomoea_macrantha"	1	0	0	0	0	0	0	0	0	0	0	0	0
