"Scaeva_melanostoma"	"Unidentified_sp1_M_PL_001"	"Unidentified_sp2_M_PL_001"	"Megachile_semirufa"	"Centris_cineraria"	"Megachile_sp1_M_PL_001"	"Caenohalictus_sp1_M_PL_001"	"Alloscirtetica_sp1_M_PL_001"	"Auca_coctei"	"Anthidium_chilensis"	"Etcheverrius_chilensis"	"Villa_sp1_M_PL_001"	"Bombus_dahlbomii"	"Megachile_sp2_M_PL_001"	"Panur_sp1_M_PL_001"	"Unidentified_sp3_M_PL_001"	"Anthidium_funereum"	"Unidentified_sp4_M_PL_001"	"Anthidium_gayi"	"Villa_hypoxantha"	"Villa_verdensis"	"Anthidium_decapsilum"	"Cadeguala_occidentalis"	"Centris_nigerrima"	"Unidentified_sp5_M_PL_001"	"Unidentified_sp6_M_PL_001"	"Xanthocolletes_sicheli"	"Alloscirtetica_rufitarsis"	"Faunula_leucoglene"	"Hypodynerus_sp1_M_PL_001"	"Lyophlaeba_lugubris"	"Ruiziella_luctuosa"	"Truphloechus_bellus"	"Unidentified_sp7_M_PL_001"	"Villa_semifuscata"	"Yramea_lathonoides"	"Alloscirtetica_gayi"	"Anthophora_incerta"	"Anthophora_sp1_M_PL_001"	"Centris_sp1_M_PL_001"	"Chaetodemoticus_chilensis"	"Euryglostromyia_philippii"	"Habromyia_lipoflava"	"Hypodynerus_sp2_M_PL_001"	"Hypodynerus_sp3_M_PL_001"	"Liphanthus_sabulosus"	"Lithurgomma_wagenknechti"	"Mesonychium_gayi"	"Pseudolucia_chilensis"	"Ruizantheda_mutabilis"	"Spathipalpus_philippii"	"Tatochila_mercedis"	"Unidentified_sp8_M_PL_001"	"Villa_flavicura"	"Xanthocolletes_incahuasi"	"Andinus_venustus"	"Anthidium_adriani"	"Caenohalictus_sp2_M_PL_001"	"Caenohalictus_sp3_M_PL_001"	"Caupolicana_dimidiata"	"Chilicola_sp1_M_PL_001"	"Chilicola_sp2_M_PL_001"	"Chilimelissa_sp1_M_PL_001"	"Coelioxys_sp1_M_PL_001"	"Colletes_aruacariae"	"Colletes_fulvipes"	"Colletes_sp1_M_PL_001"	"Corynurus_sp1_M_PL_001"	"Dasybasis_sp1_M_PL_001"	"Dialictus_sp1_M_PL_001"	"Elaphroptera_relicta"	"Eristalis_tenax"	"Hemicolletes_ruizii"	"Hypsochila_wagenknechti"	"Isepeolus_niveiventris"	"Liphanthus_sp1_M_PL_001"	"Liphanthus_sp2_M_PL_001"	"Phulia_nymphula"	"Prosopochaeta_caliginosa"	"Prosopochaeta_sp1_M_PL_001"	"Scaptia_atra"	"Svastrides_melanura"	"Tapinotaspis_caerulea"	"Tapinotaspis_herbsti"	"Tatochila_sp1_M_PL_001"	"Unidentified_sp10_M_PL_001"	"Unidentified_sp11_M_PL_001"	"Unidentified_sp12_M_PL_001"	"Unidentified_sp13_M_PL_001"	"Unidentified_sp14_M_PL_001"	"Unidentified_sp15_M_PL_001"	"Unidentified_sp16_M_PL_001"	"Unidentified_sp17_M_PL_001"	"Unidentified_sp18_M_PL_001"	"Unidentified_sp9_M_PL_001"	"Vibrissomyia_sp1_M_PL_001"	"Villa_arenarus"	"Villa_durvillei"	"Villa_gayi"	"Villa_guttapennis"	"Xanthocolletes_sp1_M_PL_001"
"Sisyrinchium_philippii"	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Adesmia_exilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Bowlesia_tropaeolifolia"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Calceolaria_montana"	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chaetanthera_microphylla"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Haplopappus_chysanthemifolius"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leucocoryne_pauciflora"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mustisia_acerosa"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mustisia_subulata"	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oxalis_cinerea"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oxalis_geminata"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Oxalis_sp1_M_PL_001"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Schizanthus_grahamii"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Senecio_lithostaurus"	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Valeriana_gracileps"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
