"Unidentified_sp1_M_PL_028"	"Melangyna_novaezelandiae"	"Melangyna_sp1_M_PL_028"	"Proscissio_cana"	"Lasioglossum_sordidum"	"Lycaena_salustius"	"Lasioglossum_sp1_M_PL_028"	"Lycaena_boldenarium"	"Peremptor_modica"	"Protohystricia_huttoni"	"Occisor_sp1_M_PL_028"	"Calliphora_quadrimaculata"	"Eudonia_sabulosella"	"Heteria_appendiculata"	"Leioproctus_sp1_M_PL_028"	"Melangyna_ortas"	"Leioproctus_sp2_M_PL_028"	"Scaptia_adrel"	"Appis_mellifera"	"Bombus_terrestris"	"Eulalia_sp1_M_PL_028"	"Helophilus_hochstetteri"	"Heteria_plebeia"	"Hybopygia_varia"	"Leioproctus_fulvescens"	"Leioproctus_monticola"	"Leioproctus_sp3_M_PL_028"	"Protohystirica_huttoni"	"Protohystricia_alcis"	"Scoparia_submarginalis"	"Unidentified_sp2_M_PL_028"	"Zealandotachina_nigrifemorata"	"Avibrissina_brevivalpis"	"Avibrissina_isolata"	"Bombus_hortotum"	"Calliphora_vicina"	"Eristalis_tenax"	"Gracilicera_setosa"	"Occisor_versutus"	"Orocrambus_flexuosellus"	"Pales_efferata"	"Pales_nyctemeriana"	"Pales_tecta"	"Pasiphila_bilineolata"	"Rictonis_comma"	"Unidentified_sp3_M_PL_028"	"Unidentified_sp4_M_PL_028"	"Argirophenga_sp1_M_PL_028"	"Arthracanthus_obscuricollis"	"Calliphora_icela"	"Chelaner_antarcticus"	"Cyphon_sp1_M_PL_028"	"Dasytes_subcyaneus"	"Declana_junctilinea"	"Eucymatoge_gobiata"	"Helastia_cineraria"	"Helastia_semisignata"	"Homodotis_megaspilata"	"Hydriomena_deltoidata"	"Hylaeus_agilis"	"Hylaeus_sp1_M_PL_028"	"Lepidomyia_decessum"	"Melangyna_ortas_1"	"Mordella_detracta"	"Pareromene_pyrsophanes"	"Pasiphila_nereis"	"Pasiphila_sandycias"	"Philia_nigrostigma"	"Procissio_valida"	"Proscissio_albiceps"	"Scoparia_philerga"	"Scoparia_rotuella"	"Unidentified_sp5_M_PL_028"	"Unidentified_sp6_M_PL_028"	"Zorion_minutum"	"Adoxia_obscura"	"Agrotis_ipsilon_anieturma"	"Argyrophenga_antipodium"	"Austrocidaria_similata"	"Bombus_ruderatus"	"Bothrophora_lupina"	"Calcager_apertum"	"Calliphora_quadrimaculata_1"	"Calliphora_stygia"	"Campylia_nudarum"	"Cyphon_sp2_M_PL_028"	"Declana_niveata"	"Ephiphyrne_undosata"	"Epiphryne_xanthaspis"	"Evibrissa_huttoni"	"Gelechia_lithodes"	"Graphania_disjungens"	"Graphania_omoplaca"	"Graphania_sequens"	"Helophilus_antipodus"	"Hoplocneme_sp1_M_PL_028"	"Hydriomena_rixata"	"Hylaeus_relegatus"	"Ischalis_fortinata"	"Leioproctus_boltonii"	"Leioproctus_imitatus"	"Leioproctus_maritimus"	"Leioproctus_sp4_M_PL_028"	"Leioproctus_sp5_M_PL_028"	"Leucania_toroneura"	"Lucilia_sericata"	"Mecyna_flavidalis"	"Musc._sp1_M_PL_028"	"Neotachina_sp1_M_PL_028"	"Notoreas_cataphyrrha"	"Oreocalus_hebe"	"Orocrambus_crenaeus"	"Orocrambus_lectus"	"Pales_aurea"	"Pales_usitata"	"Pasiphila_inductata"	"Pasiphila_sp1_M_PL_028"	"Pasiphila_sp2_M_PL_028"	"Perrissina_brunniceps"	"Plagiomyia_turbidum"	"Proscissio_lateralis"	"Proscission_sp1_M_PL_028"	"Pseudocoremia_monacha"	"Pseudocoremia_scariphota"	"Pseudofoenus_pedunculatus"	"Pyronola_laeta"	"Sawpogon_proximus"	"Scaptia_brevipalpis"	"Scoparia_minisculalis"	"Selenopalpus_aciphyllae"	"Sestra_flexata"	"Unidentified_sp10_M_PL_028"	"Unidentified_sp7_M_PL_028"	"Unidentified_sp8_M_PL_028"	"Unidentified_sp9_M_PL_028"	"Xylota_montana"	"Zealandotachina_quadrivittata"	"Zealandotachina_subtilis"	"Zealandotachina_varipes"
"Leptospermum_scoparium"	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0
"Hebe_salicifolia"	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Discaria_toumatou"	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Olearia_virgata"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Aciphylla_subflavellata"	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Cassinia_fulvida"	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Cirsium_arvense"	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corokia_cotoneaster"	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Celmisia_spectabilis"	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"Dracuphyllum_acerosum"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
