"Meligethes_sp1_M_PL_018"	"Undefined_sp17_M_PL_018"	"Bombus_pascuorum"	"Undefined_sp21_M_PL_018"	"Episyrphus_balteatus"	"Olibrus_aeneus"	"Undefined_sp14_M_PL_018"	"Undefined_sp18_M_PL_018"	"Undefined_sp20_M_PL_018"	"Crambus_pratella"	"Undefined_sp22_M_PL_018"	"Undefined_sp25_M_PL_018"	"Undefined_sp26_M_PL_018"	"Adscita_statices"	"Bombus_hortorum"	"Bombus_lapidarius"	"Leptura_rubra"	"Eumerus_tuberculatus"	"Polyommatus_icarus"	"Undefined_sp23_M_PL_018"	"Maniola_jurtina"	"Undefined_sp19_M_PL_018"	"Undefined_sp24_M_PL_018"	"Bombus_terrestris"	"Eoseristalis_abusivus"	"Nemophora_degeerella"	"Undefined_sp15_M_PL_018"	"Undefined_sp16_M_PL_018"	"Anaspis_flava"	"Byturus_aestivus"	"Ceuthorrhynchus_assimilis"	"Coccinella_septempunctata"	"Meliscaeva_cinctella"	"Syrphus_ribesii"	"Thymelicus_sylvestris"	"Apion_hookeri"	"Bombus_pratorum"	"Dasytes_plumbeus"	"Melanostoma_scalare"	"Pieris_napi"	"Sphaerophoria_menthastri"	"Undefined_sp11_M_PL_018"	"Undefined_sp12_M_PL_018"	"Undefined_sp13_M_PL_018"	"Anaspis_rufilabris"	"Apion_rufirostre"	"Bombus_lucorum"	"Bombus_soroeensis"	"Chrysogaster_solstitialis"	"Clytus_arietis"	"Epuraea_depressa_Illiger"	"Oulema_melanopus"	"Psithyrus_campestris"	"Sphaerophoria_scripta"	"Strangalia_maculata"	"Strophosomus_capitatus"	"Undefined_sp28_M_PL_018"	"Undefined_sp3_M_PL_018"	"Undefined_sp30_M_PL_018"	"Undefined_sp5_M_PL_018"	"Zygaena_filipendulae"	"Anaspis_frontalis"	"Aphantopus_hyperantus"	"Apion_aeneum"	"Apion_flavipes"	"Apion_meliloti"	"Bombus_ruderatus"	"Ceuthorrhynchus_pollinarius"	"Ceutorrhynchus_rugulosus"	"Cheilosia_albitarsis"	"Cheilosia_impressa"	"Cheilosia_velutina"	"Chrysogaster_cemiteriorum"	"Chrysomela_fastuosa"	"Corticarina_gibbosa"	"Enicmus_transversus"	"Eoseristalis_arbustorum"	"Eoseristalis_horticola"	"Eristalinus_sepulchralis"	"Grammoptera_ruficornis"	"Malachius_viridis"	"Mesapamea_secalis"	"Miarus_campanulae."	"Miccotrogus_picirostris"	"Neocnemodon_sp1_M_PL_018"	"Parasyrphus_malinellus"	"Psithyrus_bohemicus"	"Psithyrus_rupestris"	"Rhingia_campestris"	"Rhynchites_germanicus"	"Scaeva_pyrastri"	"Sitona_lineatus"	"Sphaerophoria_taeniata"	"Syrphus_vitripennis"	"Undefined_sp1_M_PL_018"	"Undefined_sp10_M_PL_018"	"Undefined_sp2_M_PL_018"	"Undefined_sp27_M_PL_018"	"Undefined_sp29_M_PL_018"	"Undefined_sp4_M_PL_018"	"Undefined_sp6_M_PL_018"	"Undefined_sp7_M_PL_018"	"Undefined_sp8_M_PL_018"	"Undefined_sp9_M_PL_018"	"Volucella_pellucens"
"Tripleurospermum_inodorum"	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Silene_dioica"	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
"Cirsium_arvense"	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chaerophyllum_temulentum"	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Angelica_sylvestris"	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Tanacetum_vulgare"	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Melilotus_albus"	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trifolium_repens"	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
"Achillea_millefolium"	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Cirsium_vulgare"	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
