"Augochlora_semiramis"	"Astylus_quadrilineatus"	"Camponotus_sp1_M_PL_072_01"	"Unidentified_sp1_M_PL_072_01"	"Toxomerus_sp1_M_PL_072_01"	"Unidentified_sp14_M_PL_072_01"	"Augochlorella_ephyra"	"Lerodea_eufala"	"Unidentified_sp3_M_PL_072_01"	"Chrysodina_sp1_M_PL_072_01"	"Apis_mellifera"	"Chilicola_sp1_M_PL_072_01"	"Palpada_sp1_M_PL_072_01"	"Unidentified_sp5_M_PL_072_01"	"Allograpta_sp1_M_PL_072_01"	"Bombus_bellicosus"	"Megachile_sp1_M_PL_072_01"	"Pampasatyrus_gyrtone"	"Unidentified_sp18_M_PL_072_01"	"Unidentified_sp19_M_PL_072_01"	"Vanessa_sp1_M_PL_072_01"	"Villa_sp1_M_PL_072_01"	"Xylocopa_ciliata"	"Cochliomyia_macellaria"	"Corticea_immocerina"	"Euptoieta_claudia_hortensia"	"Gaesischia_sp1_M_PL_072_01"	"Lucilia_sericata"	"Mischocyttarus_drewseni"	"Parachytas_sp1_M_PL_072_01"	"Platycheirus_sp1_M_PL_072_01"	"Unidentified_sp10_M_PL_072_01"	"Unidentified_sp12_M_PL_072_01"	"Unidentified_sp15_M_PL_072_01"	"Unidentified_sp17_M_PL_072_01"	"Agraulis_vanillae"	"Audre_epulus_signata"	"Augochloropsis_sp1_M_PL_072_01"	"Campsomeris_bistrimacula"	"Ceratina_montana"	"Chalepogenus_goeldianus"	"Chauliognathus_scriptus"	"Chauliognathus_sp1_M_PL_072_01"	"Chrysopa_sp1_M_PL_072_01"	"Coelioxys_sp1_M_PL_072_01"	"Colletes_cyaneus"	"Colletes_sp1_M_PL_072_01"	"Copestylum_sp1_M_PL_072_01"	"Dialictus_sp1_M_PL_072_01"	"Entypus_ferruginipennis"	"Entypus_sp1_M_PL_072_01"	"Leioproctus_indigoticus"	"Panurgillus_sp1_M_PL_072_01"	"Polistes_sp1_M_PL_072_01"	"Polybia_scutellaris"	"Stenodynerus_sp1_M_PL_072_01"	"Tachypompilus_sp1_M_PL_072_01"	"Thespieus_catochra"	"Unidentified_sp11_M_PL_072_01"	"Unidentified_sp13_M_PL_072_01"	"Unidentified_sp16_M_PL_072_01"	"Unidentified_sp2_M_PL_072_01"	"Unidentified_sp4_M_PL_072_01"	"Unidentified_sp6_M_PL_072_01"	"Unidentified_sp7_M_PL_072_01"	"Unidentified_sp8_M_PL_072_01"	"Unidentified_sp9_M_PL_072_01"
"Gelasine_azurea"	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hypochaeris_rosengurtii"	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Senecio_bravensis"	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Habranthus_gracilifolius"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_pubescens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oxalis_articulata"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trixis_stricta"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alophia_lahue"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Blumenbachia_insignis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Senecio_madagascariensis"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sommerfeltia_spinulosa"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Carduus_acanthoides"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Echium_plantagineum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eryngium_nudicaule"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eupatorium_squarrulosum"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gomphrena_perennis"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gymnocalycium_reductum"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Habranthus_andersoni"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oxalis_cordobensis"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rodophiala_bifidum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Senecio_arechavaletae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sisyrinchium_iridifolium"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Verbena_intermedia"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Wigginsia_tephracantha"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
