"Apis_mellifera"	"Episyrphus_balteatus"	"Eupeodes_corollae"	"Melanostoma_mellinum"	"Parasyrphus_lineola"	"Platycheirus_cyaneus"	"Scaeva_selenitica"	"Bombus_lucorum"	"Bombus_pascuorum"	"Meliscaeva_cinctella"	"Sphaerophoria_sp1_M_PL_047"	"Bombus_sp1_M_PL_047"	"Sicus_ferrugineus"	"Syrphus_torvus"	"Bombus_jonellus"	"Bombus_sp2_M_PL_047"	"Lasioglossum_punctatissimum"	"Sphaerophoria_menthastri.group"	"Andrena_haemorrhoa"	"Eristalis_tenax"	"Lasioglossum_fratellum"	"Leptura_melanura"	"Meligethes_aeneus"	"Syrphus_ribesii"	"Bombus_bohemicus"	"Bombus_lapidarius"	"Chrysotoxum_fasciatum"	"Lasioglossum_sp1_M_PL_047"	"Lasioglossum_villosulum"	"Scatophaga_stercoraria"	"Syritta_pipiens"	"Volucella_bombylans"	"Andrena_fulva"	"Andrena_nigroaenea"	"Andrena_sp1_M_PL_047"	"Bellardia_vulgaris"	"Bombus_pratorum"	"Callophrys_rubi"	"Cerceris_arenaria"	"Coenosia_means"	"Gonia_picea"	"Lasioglossum_leucozonium"	"Megasyrphus_erraticus"	"Vespula_vulgaris"	"Anarta_myrtilli"	"Andrena_clarkella"	"Andrena_lapponica"	"Anoplius_sp1_M_PL_047"	"Bombus_rupestris"	"Calameuta_pallipes"	"Dasysyrphus_albostriatus"	"Dasysyrphus_tricinctus"	"Dilophus_febrilis"	"Dolichovespula_saxonica"	"Empis_sp1_M_PL_047"	"Eristalis_lineata"	"Eupeodes_nielseni"	"Formica_fusca"	"Formica_rufa"	"Gymnosoma_nudifrons"	"Helophilus_pendulus"	"Inachis_io"	"Mellinus_arvensis"	"Micropterix_aruncella"	"Mimesa_equestris"	"Myrmica_ruginodis"	"Nomada_panzeri"	"Nomada_sp1_M_PL_047"	"Phaonia_angelicae"	"Phaonia_incana"	"Phyllopertha_horticola"	"Sarcophaga_sp1_M_PL_047"	"Scatophaga_inquinata"	"Sepsis_cynipsea"	"Sericomyia_silentis"	"Sphaerophoria_scripta"	"Tricholinum_sp1_M_PL_047"	"Unidentified_sp16_M_PL_047"	"Unidentified_sp3_M_PL_047"	"Unidentified_sp5_M_PL_047"	"Unidentified_sp7_M_PL_047"	"Zaira_cinerea"	"Zophomyia_temula"	"Adela_cuprella"	"Adia_cinerella"	"Ammophila_pubescens"	"Anarta_sp1_M_PL_047"	"Andrena_barbilabris"	"Andrena_fuscipes"	"Andrena_tarsata"	"Andrena_wilkella"	"Aplotarsus_incanus"	"Arge_ustulata"	"Athous_subfuscus"	"Autographa_bractea"	"Bibio_lanigerus"	"Bombus_cryptarum"	"Bombus_muscorum"	"Bombus_terrestris"	"Calliopum_aeneum"	"Cephalops_obtusinervis"	"Cerceris_rybyensis"	"Cheilosia_albitarsis"	"Cheilosia_urbana"	"Chrysomela_collaris"	"Chrysotoxum_arcuatum"	"Chrysotoxum_bicinctum"	"Coenosia_femoralis"	"Coenosia_sp1_M_PL_047"	"Coenosia_tigrina"	"Colletes_cunicularius"	"Colletes_succinctus"	"Conops_flavipes"	"Conops_quadrifasciatus"	"Crossocerus_leucostoma"	"Cynomya_mortuorum"	"Dilophus_humeralis"	"Dolichovespula_norwegica"	"Egle_brevicornis"	"Egle_minuta"	"Empis_tessellata"	"Entomophaga_nigrohalterata"	"Eristalinus_sepulchralis"	"Eristalis_arbustorum"	"Eristalis_interrupta"	"Eristalis_intricaria"	"Eristalis_pertinax"	"Ernestia_rudis"	"Formica_sanguinea"	"Halictus_confusus"	"Hedychrum_nobile"	"Hercostomus_sp1_M_PL_047"	"Heterostylodes_pratensis"	"Hydrophoria_lancifer"	"Hydrotaea_similis"	"Hylaeus_annularis"	"Hylaeus_brevicornis"	"Hylaeus_sp1_M_PL_047"	"Lasioglossum_leucopus"	"Lasioglossum_sexmaculatum"	"Lasiomma_picipes"	"Leucozona_lucorum"	"Lucilia_bufonivora"	"Lycaena_virgaureae"	"Lycophotia_porphyrea"	"Megachile_versicolor"	"Mesochorus_sp1_M_PL_047"	"Microgaster_sp1_M_PL_047"	"Morellia_aenescens"	"Neomyia_cornicina"	"Nomada_flava"	"Nomada_ruficornis"	"Nomada_rufipes"	"Oedemera_lurida"	"Orthonerva_geniculata"	"Oxybelus_mandibularis"	"Phaonia_pallida"	"Phaonia_serva"	"Poecilobothrus_nobilitatus"	"Pollenia_angustigena"	"Pollenia_rudis"	"Potosia_cuprea"	"Prosternon_tessellatum"	"Rhagonycha_fulva"	"Rhamphomyia_sp1_M_PL_047"	"Scaeva_pyrastri"	"Sciara_sp1_M_PL_047"	"Sphaerophoria_philanthus"	"Sphecodes_ephippius"	"Sphecodes_geoffrellus"	"Sphecodes_pellucidus"	"Sphecodes_sp1_M_PL_047"	"Tachina_grossa"	"Unidentified_sp1_M_PL_047"	"Unidentified_sp10_M_PL_047"	"Unidentified_sp11_M_PL_047"	"Unidentified_sp12_M_PL_047"	"Unidentified_sp13_M_PL_047"	"Unidentified_sp14_M_PL_047"	"Unidentified_sp15_M_PL_047"	"Unidentified_sp2_M_PL_047"	"Unidentified_sp4_M_PL_047"	"Unidentified_sp6_M_PL_047"	"Unidentified_sp8_M_PL_047"	"Unidentified_sp9_M_PL_047"	"Zygaena_trifolii"
"Salix_repens"	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
"Calluna_vulgaris"	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1
"Potentilla_erecta"	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0
"Solidago_virgaurea"	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
"Erica_tetralix"	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vaccinium_uliginosum"	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Hypochoeris_radicata"	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Galium_saxatile"	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vaccinium_vitis-idaea"	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hieracium_umbellatum"	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
