"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"R26"	"R27"	"R28"	"R29"	"R30"	"R31"	"R32"	"R33"	"R34"	"R35"	"R36"	"R37"	"R38"	"R39"	"R40"	"R41"	"R42"	"R43"	"R44"	"R45"	"R46"	"R47"	"R48"	"R49"	"C1"	"C2"
"R1"	1.08278723946222	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.128517822450953	0.0457305829887378	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0827872394622155	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0827872394622155	0.0827872394622155	0.128517822450953	0.965423418651131	3.77141868661204
"R2"	0.0827872394622155	1.08278723946222	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.128517822450953	0.0457305829887378	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0827872394622155	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0827872394622155	0.0827872394622155	0.128517822450953	0.965423418651131	3.77141868661204
"R3"	0.0827872394622155	0.0827872394622155	1.08278723946222	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.128517822450953	0.0457305829887378	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0827872394622155	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0827872394622155	0.0827872394622155	0.128517822450953	0.965423418651131	3.77141868661204
"R4"	0.0827872394622155	0.0827872394622155	0.0827872394622155	1.08278723946222	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.128517822450953	0.0457305829887378	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0827872394622155	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0827872394622155	0.0827872394622155	0.128517822450953	0.965423418651131	3.77141868661204
"R5"	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	1.08278723946222	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.128517822450953	0.0457305829887378	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0827872394622155	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0827872394622155	0.0827872394622155	0.128517822450953	0.965423418651131	3.77141868661204
"R6"	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	1.08278723946222	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.128517822450953	0.0457305829887378	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0827872394622155	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0827872394622155	0.0827872394622155	0.128517822450953	0.965423418651131	3.77141868661204
"R7"	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	1.08278723946222	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.128517822450953	0.0457305829887378	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0827872394622155	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0827872394622155	0.0827872394622155	0.128517822450953	0.965423418651131	3.77141868661204
"R8"	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	1.08278723946222	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.128517822450953	0.0457305829887378	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0827872394622155	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0827872394622155	0.0827872394622155	0.128517822450953	0.965423418651131	3.77141868661204
"R9"	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	1.08278723946222	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.128517822450953	0.0457305829887378	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0827872394622155	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0827872394622155	0.0827872394622155	0.128517822450953	0.965423418651131	3.77141868661204
"R10"	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	1.08278723946222	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.128517822450953	0.0827872394622155	0.128517822450953	0.0457305829887378	0.0827872394622155	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0827872394622155	0.0827872394622155	0.0457305829887378	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0827872394622155	0.128517822450953	0.128517822450953	0.0827872394622155	0.0457305829887378	0.0457305829887378	0.0827872394622155	0.0827872394622155	0.128517822450953	0.965423418651131	3.77141868661204
