"Apodemus_uralensis"	"Cricetulus_migratorius"	"Clethrionomys_centralis"	"Sicista_tianshanica"	"Spermophilus_relictus"	"Alticola_argentatus"	"Sciurus_vulgaris"	"Ellobius_tancrei"	"Microtus_oeconomus"	"Pectinoctenus_nemorosa"	"Frontopsylla_ornata"	"Neopsylla_teratura"	"Neopsylla_mana"	"Amalaraeus_penicilliger"	"Amphipsylla_anceps"	"Callopsylla_caspia"	"Megabothris_rectangulatus"	"Frontopsylla_elata"	"Amphipsylla_dumalis"	"Paraneopsylla_tiflovi"	"Amphipsylla_primaris"	"Neopsylla_pleskei"	"Neopsylla_setosa"	"Amphipsylla_kuznetzovi"	"Leptopsylla_nana"	"Frontopsylla_elatoides"	"Rhadinopsylla_li"	"Tarsopsylla_octodecimdentata"	"Amphipsylla_rossica"	"Amphipsylla_asiatica"	"Ctenophthalmus_breviatus"	"Oropsylla_silantiewi"	"Frontopsylla_protera"	"Amphipsylla_schelkovnikovi"	"Ctenophthalmus_arvalis"	"Hystrichopsylla_talpae"	"Palaeopsylla_soricis"	"Pectinoctenus_pectiniceps"
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0	0	0	0.0294117647058824	0	0	0.0294117647058824	0	0	0.0294117647058824	0	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0	0	0.0294117647058824	0	0	0.0294117647058824
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0.0333333333333333	0	0	0	0	0.0333333333333333	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0
"Clethrionomys_centralis"	0	0	0	0	0	0	0	0	0	0.03125	0.03125	0.03125	0.03125	0.03125	0	0.03125	0.03125	0.03125	0	0.03125	0.03125	0	0	0.03125	0.03125	0	0.03125	0	0.03125	0	0	0	0	0	0	0.03125	0.03125	0
"Sicista_tianshanica"	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0	0	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0	0	0	0	0
"Spermophilus_relictus"	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0.0625	0	0	0	0	0	0	0	0.0625	0.0625	0	0	0.0625	0.0625	0	0	0	0	0.0625	0	0	0	0	0	0
"Alticola_argentatus"	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.0714285714285714	0	0.0714285714285714	0.0714285714285714	0	0.0714285714285714	0	0	0	0.0714285714285714	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
"Ellobius_tancrei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_nemorosa"	0.1	0.1	0.1	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
