"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"
"R1"	0	0	0	0	0	0	0	0	0.125	0.125	0.125	0.125	0
"R2"	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0
"R3"	0	0	0	0	0	0	0	0	0	0	0.5	0	0
"R4"	0	0	0	0	0	0	0.5	0	0	0	0	0	0
"R5"	0	0	0	0	0	0	0	0.5	0	0	0	0	0
"R6"	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25
"C1"	0	0	0	0.5	0	0	0	0	0	0	0	0	0
"C2"	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"C3"	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"C4"	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"C5"	0.125	0.125	0.125	0	0	0.125	0	0	0	0	0	0	0
"C6"	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0
"C7"	0	0	0	0	0	0.5	0	0	0	0	0	0	0
