"Abies_alba"	"Abies_concolor"	"Abies_grandis"	"Abies_koreana"	"Acer_platanoides"	"Acer_pseudoplatanus"	"Achillea_millefolium"	"Artemisia_vulgaris"	"Asparagus_offinalis"	"Avena_sativa"	"Beta_vulgaris"	"Betula_sp."	"Brassica_napus"	"Carduus_sp."	"Carpinus_betulus"	"Centaurea_sp."	"Chenopodium_sp."	"Cirsium_arvense"	"Cirsium_palustre"	"Cirsium_sp."	"Corylus_avellana"	"Crataegus_ocyacantha"	"Crepis_biennis"	"Crepis_sp."	"Cytisus_scoparius"	"Dactylis_glomerata"	"Daucus_sp."	"Epilobium"	"Euonymus_europaea"	"Euphorbia_sp."	"Fagus_sylvatica"	"Filipendula_ulmaria"	"Fraxinus_excelsior"	"Galeopsis_sp."	"Galium_sp."	"Gramineae_sp."	"Hedera_helix"	"Heracleum_sphondylium"	"Hieracium_murorum"	"Holcus_lanatus"	"Hordeum_vulgare"	"Humulus_lupulus"	"Impatiens_glandulifera"	"Impatiens_noli-tangere"	"Impatiens_parviflora"	"Juglans_regia"	"Larix_decidua"	"Lathyrus_sp."	"Lolium_sp."	"Lupinus_polyphyllus"	"Malus_domestica"	"Malva_sp."	"Matricaria_perforata"	"Medicago_sativa"	"Melilotus_albus"	"Mycelis_muralis"	"Papaver_somniferum"	"Phalaris_arundinacea"	"Phragmites_communis"	"Picea_albis"	"Pinus_cembra"	"Pinus_sylvestris"	"Pisum_sativum"	"Prunus_avium"	"Prunus_domestica"	"Prunus_padus"	"Populus_tremula"	"Pseudotsuga_menziesii"	"Quercus_rubra"	"Quercus_sp."	"Ribes_rubrum"	"Rosa_sp."	"Ranunculus_sp."	"Rubus_caesius"	"Rubus_idaeus"	"Rumex_sp."	"Salix_caprea"	"Salix_sp."	"Sambucus_nigra"	"Secale_cereale"	"Senecio_nemorensis"	"Silene_alba"	"Sinapis_arvensis"	"Solanum_tuberosum"	"Sonchus_oleraceus"	"Sorbus_aucuparia"	"Spiraea_vachouttei"	"Tanacetum_vulgare"	"Taraxacum_officinale"	"Thlaspi_arvense"	"Tilia_sp."	"Trifolium_pratense"	"Triticum_aestivum"	"Ulmus_sp."	"Umbelliferae_sp."	"Urtica_dioica"	"Viburnum_opulus"	"Vicia_cracca"	"Vicia_faba"	"Vicia_sp."	"Zea_mays"	"Mindarus_abietinus"	"Prociphilus_fraxini"	"Cinara_curvipes"	"Periphyllus_sp."	"Drepanosiphum_platanoides"	"Periphyllus_testudinaceus"	"Macrosiphoniella_millefolli"	"Macrosiphoniella_oblonga"	"Brachycorynella_asparagi"	"Metopolophium_dirhodum"	"Rhopalosiphum_padi"	"Sitobion_avenae"	"Aphis_fabae"	"Betulaphis_brevipilosa"	"Euceraphis_punctipennis"	"Kallistaphis_sp."	"Symydibius_oblongus"	"Brevicoryne_brassicae"	"Brachycaudus_sp."	"Uroleucon_sp."	"Myzocallis_capini"	"Hayhurstia_atriplicis"	"Capitophorus_sp."	"Corylobium_avellanae"	"Myzocallis_coryli"	"Ovatus_crataegarius"	"Acyrthosiphon_pisum"	"Aphis_sp."	"Macrosiphum_sp."	"Phyllaphis_fagi"	"Macrosiphum_cholodkowskyi"	"Prociphilus_sp."	"Cryptomyzus_galeopsidis"	"Aphis_hederae"	"Cavariella_pastinacae"	"Nasonovia_nigra"	"Nasonovia_sp."	"Diuraphis_noxia"	"Phorodon_humuli"	"Impatientinum_asiaticum"	"Impatientinum_balsamines"	"Chromaphis_juglandis"	"Adelges_laricis"	"Adelges_viridis"	"Cinara_sp."	"Megoura_viciae"	"Macrosiphum_albifrons"	"Aphis_pomi"	"Eriosoma_lanigerum"	"Rhopalosiphum_insertum"	"Aphis_umbrella"	"Uroleucon_murale"	"Uroleucon_obscurum"	"Hyalopteroides_humilis"	"Rhopalomyzus_lonicerae"	"Hyalopterus_pruni"	"Pineus_cembrae"	"Eulachnus_agilis"	"Schizolachnus_pinetis"	"Myzus_cerasi"	"Chaitophorus_sp."	"Gilletteella_cooleyi"	"Myzocallis_walshii"	"Stomaphis_quercus"	"Thelaxes_dryophila"	"Lachnus_roboris"	"Tuberculatus_annulatus"	"Tuberculatus_sp."	"Aphis_grossulariae"	"Macrosiphum_rosae"	"Macrosiphum_funestum"	"Aphis_idaei"	"Aphis_farinosa"	"Pterocomma_sp."	"Cavariella_sp."	"Aphis_sambuci"	"Aphis_jacobaeae"	"Brachycaudus_lychnidis"	"Myzus_persicae"	"Hyperomyzus_lactucae"	"Dysaphis_sorbi"	"Aphis_spiraephaga"	"Macrosiphoniella_tanacetaria"	"Metopeurum_fuscoviride"	"Lipaphis_erysimi"	"Eucallipterus_tiliae"	"Schizaphis_graminum"	"Schizoneura_sp."	"Microlophium_carnosum"	"Aphis_viburni"	"Aphis_craccae"	"Aphis_craccivora"
"Abies_alba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Abies_concolor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Abies_grandis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Abies_koreana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acer_platanoides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acer_pseudoplatanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Achillea_millefolium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Artemisia_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Asparagus_offinalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Avena_sativa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
