"Microtus_arvalis"	"Dryomys_nitedula"	"Arvicola_terrestris"	"Neomys_schelkovnikovi"	"Ctenophthalmus_wladimiri"	"Ceratophyllus_sciurorum"	"Amphipsylla_rossica"	"Frontopsylla_elata"	"Megabothris_walkeri"	"Ctenophthalmus_bogatschevi"	"Neopsylla_pleskei"	"Nosopsyllus_consimilis"	"Hystrichopsylla_talpae"	"Palaeopsylla_soricis"	"Callopsylla_caspia"	"Leptopsylla_taschenbergi"	"Peromyscopsylla_bidentata"	"Rhadinopsylla_integella"	"Stenoponia_ivanovi"
"Microtus_arvalis"	0	0	0	0	0.0454545454545455	0	0.0454545454545455	0.0454545454545455	0	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0	0.0454545454545455	0	0.0454545454545455	0.0454545454545455	0.0454545454545455
"Dryomys_nitedula"	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0
"Arvicola_terrestris"	0	0	0	0	0.125	0	0	0.125	0.125	0	0	0.125	0	0	0	0	0	0	0
"Neomys_schelkovnikovi"	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
"Ctenophthalmus_wladimiri"	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_sciurorum"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_bogatschevi"	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_consimilis"	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_taschenbergi"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_ivanovi"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
