"Ficus_sp1_M_SD_017"	"Pseudospondias_longifolia"	"Elaeis_guineensis"	"Tetrapleura_tetraptera"	"Berlinia_bracteosa"	"Pycnanthus_angolensis"	"Unidentified_sp1_M_SD_017"	"Xylopia_sp1_M_SD_017"	"Detarium_macrocarpum"	"Duboscia_macrocarpa"	"Pentadesma_butyracea"	"Milicia_excelsa"	"Ongokea_gore"	"Pentaclethra_sp1_M_SD_017"	"Unidentified_sp2_M_SD_017"	"Marantochloa_sp1_M_SD_017"	"Mandrillus_sphinx"	"Cercocebus_albigena"	"Cercopithecus_nictitans"	"Cercopithecus_cephus"	"Gorilla_gorilla"	"Cercopithecus_pogonias"	"Pan_troglodytes"	"Colobus_satanas"
"Ficus_sp1_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0
"Pseudospondias_longifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0
"Elaeis_guineensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0	0.0833333333333333	0.0833333333333333	0
"Tetrapleura_tetraptera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0	0.0833333333333333	0	0.0833333333333333
"Berlinia_bracteosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0	0.1	0	0.1
"Pycnanthus_angolensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0	0.1	0.1	0
"Unidentified_sp1_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0.1	0.1	0	0.1	0
"Xylopia_sp1_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0	0.1	0	0
"Detarium_macrocarpum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.125	0.125	0.125	0	0	0
"Duboscia_macrocarpa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0	0	0.125	0	0.125	0
"Pentadesma_butyracea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0.125	0	0	0.125
"Milicia_excelsa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0.166666666666667	0	0	0
"Ongokea_gore"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0.166666666666667
"Pentaclethra_sp1_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0.166666666666667
"Unidentified_sp2_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0.166666666666667	0	0.166666666666667	0
"Marantochloa_sp1_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0
"Mandrillus_sphinx"	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0	0	0	0	0	0	0
"Cercocebus_albigena"	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0	0.0454545454545455	0	0.0454545454545455	0	0.0454545454545455	0.0454545454545455	0.0454545454545455	0	0	0	0	0	0	0	0	0	0
"Cercopithecus_nictitans"	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0	0.0454545454545455	0.0454545454545455	0	0	0	0	0	0	0	0	0	0	0	0
"Cercopithecus_cephus"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gorilla_gorilla"	0.0555555555555556	0.0555555555555556	0	0	0	0	0.0555555555555556	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0	0	0.0555555555555556	0.0555555555555556	0	0	0	0	0	0	0	0
"Cercopithecus_pogonias"	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pan_troglodytes"	0.0714285714285714	0.0714285714285714	0.0714285714285714	0	0	0.0714285714285714	0.0714285714285714	0	0	0.0714285714285714	0	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0	0
"Colobus_satanas"	0	0	0	0.1	0.1	0	0	0	0	0	0.1	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0
