"Clethrionomys_rufocanus"	"Clethrionomys_rutilus"	"Apodemus_peninsulae"	"Tamias_sibiricus"	"Microtus_evoronensis"	"Myopus_schisticolor"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Pectinoctenus_pectiniceps"	"Amalaraeus_dissimilis"	"Neopsylla_acanthina"	"Catallagia_ioffi"	"Hystrichopsylla_microti"	"Megabothris_asio"	"Ctenophthalmus_pisticus"	"Ceratophyllus_indages"	"Catallagia_dacenkoi"	"Corrodopsylla_birulai"	"Ctenophthalmus_congeneroides"	"Rhadinopsylla_pseudodahurica"
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385
"Apodemus_peninsulae"	0	0	0	0	0	0	0	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0.1	0	0	0.1	0	0	0	0.1	0.1	0	0	0.1	0
"Microtus_evoronensis"	0	0	0	0	0	0	0	0.0714285714285714	0.0714285714285714	0.0714285714285714	0	0	0.0714285714285714	0.0714285714285714	0.0714285714285714	0	0	0.0714285714285714	0	0
"Myopus_schisticolor"	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"Megabothris_advenarius"	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_pectiniceps"	0.125	0.125	0.125	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_dissimilis"	0.125	0.125	0.125	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_acanthina"	0.125	0.125	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_microti"	0.166666666666667	0.166666666666667	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_asio"	0.125	0.125	0.125	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_pisticus"	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0.1	0.1	0.1	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.125	0.125	0.125	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_congeneroides"	0.125	0.125	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_pseudodahurica"	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
