"Microtus_oeconomus"	"Sorex_arcticus"	"Clethrionomys_rutilus"	"Sorex_caecutiens"	"Sorex_roboratus"	"Neomys_fodiens"	"Lemmus_sibiricus"	"Clethrionomys_rufocanus"	"Arvicola_terrestris"	"Microtus_middendorffi"	"Sorex_minutus"	"Corrodopsylla_birulai"	"Peromyscopsylla_bidentata"	"Megabothris_rectangulatus"	"Amphipsylla_sibirica"	"Amalaraeus_penicilliger"	"Catallagia_dacenkoi"	"Megabothris_calcarifer"	"Catallagia_ioffi"	"Rhadinopsylla_integella"	"Amphalius_runatus"
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0	0	0
"Sorex_arcticus"	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0	0.0714285714285714	0	0	0.0714285714285714	0.0714285714285714
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0	0.0714285714285714	0.0714285714285714	0	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0	0.0833333333333333	0	0	0.0833333333333333	0
"Sorex_roboratus"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0.1	0	0.1	0	0	0.1	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0
"Lemmus_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0	0.0625	0	0.0625
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0
"Microtus_middendorffi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.1	0.1	0.1	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0	0.0625	0.0625	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.125	0	0.125	0	0	0	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.1	0.1	0	0.1	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0	0.166666666666667	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphalius_runatus"	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
