"R1"	"R2"	"R3"	"R4"	"R5"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"R1"	0	0	0	0	0	0	0	0.5	0	0	0
"R2"	0	0	0	0	0	0	0	0.5	0	0	0
"R3"	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333
"R4"	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0
"R5"	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0
"C1"	0	0	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0
"C2"	0	0	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0
"C3"	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0
"C4"	0	0	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0
"C5"	0	0	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0
"C6"	0	0	0.5	0	0	0	0	0	0	0	0
