"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Phoenicophorium_borsigianum"	"Canthium_bibracteatum"	"Dillenia_ferruginea"	"Memecylon_eleagni"	"Psidium_cattleianum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp2_M_PL_095"	"Hemipyrellia_sp1_M_PL_095"	"Ornidia_obesa"	"Nectarinia_dussumieri"	"Rhiparida_seychellensis"	"Unidentified_sp3_M_PL_095"	"Eristalinus_vicarians"	"Hemipyrellia_germana"	"Parasarcophaga_hirticeps"	"Unidentified_sp1_M_PL_095"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0.02	0.02	0.02	0	0	0	0.02	0	0	0	0	0.02
"Psychotria_pervillei"	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0.0333333333333333	0	0	0	0	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0.025	0.025	0	0	0.025	0	0	0.025	0	0	0	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0.02	0	0	0	0.02	0.02	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
"Psidium_cattleianum"	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0.0333333333333333	0	0	0	0.0333333333333333	0	0	0
"Lasioglossum_mahense"	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_095"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_095"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0	0.05	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_095"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eristalinus_vicarians"	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_095"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
