"Unidentified_sp1_M_SD_034"	"Unidentified_sp2_M_SD_034"	"Prunus_africana"	"Bridelia_micrantha"	"Ficus_sur"	"Manilkara_butugi"	"Antiaris_toxicaria"	"Blighia_unijugata"	"Morus_mesozygia"	"Trilepisium_madagascariense"	"Ficus_exasperata"	"Polyscias_fulva"	"Cyphostemma_cyphopetalum"	"Casearia_battiscombei"	"Harungana_madagascariensis"	"Lantana_camara"	"Solanum_mauritianum"	"Jasminum_fluminense"	"Carissa_edulis"	"Cissus_oliveri"	"Maesa_lanceolata"	"Pittosporum_viridiflorum"	"Rhamnus_prinoides"	"Clerodendrum_capitatum"	"Toddalia_asiatica"	"Culcasia_falcifolia"	"Peponium_vogelii"	"Piper_guineense"	"Allophylus_abyssinicus"	"Coffea_eugenioides"	"Psychotria_peduncularis"	"Dracaena_fragrans"	"Rubus_niveus"	"Pycnonotus_barbatus"	"Cercopithecus_mitis"	"Sylvia_atricapilla"	"Cercopithecus_ascanius"	"Cinnyricinclus_leucogaster"	"Phylloscopus_trochilus"	"Turdus_pelios"	"Andropadus_latirostris"	"Zosterops_senegalensis"	"Ceratogymna_subcylindrica"	"Buccanodon_duchaillui"	"Colobus_guereza"	"Pogoniulus_bilineatus"	"Chlorocichla_laetissima"	"Gymnobucco_bonapartei"	"Andropadus_masukuensis"	"Ploceus_bicolor"	"Phyllastrephus_hypochloris"	"Andropadus_curvirostris"	"Heliosciurus_rufobrachium"	"Melaniparus_funereus"	"Phylloscopus_budongoensis"	"Phyllastrephus_cabanisi"	"Trachyphonus_purpuratus"	"Andropadus_gracilirostris"	"Serinus_citrinelloides"	"Apalis_rufogularis"	"Baeopogon_indicator"	"Hippolais_pallida"	"Andropadus_virens"	"Serinus_mozambicus"	"Colius_striatus"	"Musophaga_rossae"	"Nigrita_canicapillus"	"Papio_anubis"	"Turtur_tympanistria"	"Tricholaema_hirsuta"	"Bleda_syndactylus"	"Oriolus_brachyrhynchus"	"Phylloscopus_sibilatrix"	"Treron_calvus"	"Turdus_olivaceus"	"Cuculus_clamosus"	"Ploceus_nigerrimus"	"Sylvia_borin"	"Alethe_poliocephala"	"Eremomela_turneri"	"Andropadus_ansorgei"	"Estrilda_nonnula"	"Nigrita_fusconotus"	"Elminia_longicauda"	"Platysteira_castanea"	"Platysteira_cyanea"	"Ploceus_insignis"	"Ploceus_melanocephalus"	"Ploceus_ocularis"	"Turdoides_sharpei"	"Anthoscopus_caroli"	"Bathmocercus_rufus"	"Centropus_monachus"	"Chalcomitra_senegalensis"	"Columba_larvata"	"Cossypha_polioptera"	"Laniarius_luehderi"	"Lybius_bidentatus"	"Melaniparus_albiventris"	"Phoenicurus_phoenicurus"	"Ploceus_baglafecht"	"Ploceus_nigricollis"	"Schistolais_leucopogon"	"Serinus_dorsostriatus"	"Spermophaga_ruficapilla"	"Terpsiphone_viridis"	"Tockus_alboterminatus"	"Campephaga_flava"	"Chalcomitra_amethystina"	"Chlorocichla_flavicollis"	"Cossypha_heuglini"	"Cossypha_niveicapilla"	"Cyanomitra_olivacea"	"Cyanomitra_verticalis"	"Dicrurus_adsimilis"	"Hylia_prasina"	"Malimbus_rubricollis"	"Oriolus_auratus"	"Prinia_bairdii"	"Prodotiscus_insignis"	"Sylvia_communis"
"Unidentified_sp1_M_SD_034"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0	0.00222222222222222	0.00222222222222222	0	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0	0	0.00222222222222222	0	0	0.00222222222222222	0.00222222222222222	0.00222222222222222	0.00222222222222222	0	0.00222222222222222	0.00222222222222222	0	0	0.00222222222222222	0	0	0.00222222222222222	0	0	0	0	0	0.00222222222222222	0	0	0	0	0	0	0	0.00222222222222222	0	0	0	0	0.00222222222222222	0.00222222222222222	0	0	0.00222222222222222	0	0	0	0	0	0	0	0	0	0	0	0.00222222222222222	0	0.00222222222222222	0.00222222222222222	0.00222222222222222	0
"Unidentified_sp2_M_SD_034"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0	0.0032258064516129	0.0032258064516129	0	0.0032258064516129	0.0032258064516129	0.0032258064516129	0	0	0	0	0	0.0032258064516129	0	0.0032258064516129	0	0	0	0	0.0032258064516129	0	0	0	0	0	0	0	0	0	0	0	0	0.0032258064516129	0	0	0.0032258064516129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Prunus_africana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.005	0.005	0	0.005	0.005	0.005	0	0	0	0	0.005	0.005	0.005	0	0	0	0	0.005	0	0	0.005	0	0	0.005	0	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.005	0.005	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bridelia_micrantha"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0	0	0.00303030303030303	0.00303030303030303	0.00303030303030303	0	0	0.00303030303030303	0.00303030303030303	0	0.00303030303030303	0	0.00303030303030303	0	0	0.00303030303030303	0.00303030303030303	0	0.00303030303030303	0	0.00303030303030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303030303030303	0	0	0	0	0	0	0	0.00303030303030303	0	0	0	0	0	0	0	0.00303030303030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficus_sur"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0	0.00434782608695652	0.00434782608695652	0	0.00434782608695652	0.00434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00434782608695652	0	0	0	0	0.00434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Manilkara_butugi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00588235294117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Antiaris_toxicaria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00625	0.00625	0.00625	0.00625	0	0.00625	0	0.00625	0.00625	0.00625	0	0.00625	0	0	0	0.00625	0.00625	0	0.00625	0.00625	0.00625	0.00625	0	0	0.00625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Blighia_unijugata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0	0	0	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0	0	0.00526315789473684	0	0	0	0.00526315789473684	0	0	0	0	0	0	0	0	0.00526315789473684	0	0	0	0	0	0.00526315789473684	0	0	0	0	0.00526315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Morus_mesozygia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0.00714285714285714	0.00714285714285714	0.00714285714285714	0	0	0	0.00714285714285714	0	0.00714285714285714	0	0.00714285714285714	0	0.00714285714285714	0	0	0	0	0.00714285714285714	0.00714285714285714	0	0.00714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trilepisium_madagascariense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
