"Psychotria_hoffmannseggiana"	"Psychotria_marginata"	"Psychotria_acuminata"	"Psychotria_deflexa"	"Psychotria_horizontalis"	"Psychotria_limonensis"	"Psychotria_poeppigiana"	"Psychotria_emetica"	"Psychotria_psychotrifolia"	"Psychotria_brachybotrya"	"Psychotria_pittieri"	"Psychotria_racemosa"	"Psychotria_grandis"	"Pipra_mentalis"	"Pipra_coronata"	"Catharus_ustulatus"	"Manacus_vitellinus"	"Catharus_fuscescens"	"Catharus_minimus"	"Habia_fuscicauda"	"Schiffornis_turdinus"	"Empidonax_virescens"	"Mionectes_oleagineus"	"Trogon_rufus"
"Psychotria_hoffmannseggiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0	0	0
"Psychotria_marginata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0	0.0142857142857143	0	0	0.0142857142857143
"Psychotria_acuminata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0	0.02	0.02	0	0	0	0	0
"Psychotria_deflexa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0	0	0	0.025	0	0	0	0
"Psychotria_horizontalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0	0	0.0125	0.0125	0
"Psychotria_limonensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0.025	0.025	0.025	0	0	0	0	0	0
"Psychotria_poeppigiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0.02	0	0	0.02	0	0	0	0
"Psychotria_emetica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.05	0	0	0	0	0
"Psychotria_psychotrifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0
"Psychotria_brachybotrya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0
"Psychotria_pittieri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0	0
"Psychotria_racemosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0	0	0
"Psychotria_grandis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
"Pipra_mentalis"	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0	0.00909090909090909	0.00909090909090909	0	0.00909090909090909	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0
"Pipra_coronata"	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_ustulatus"	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Manacus_vitellinus"	0.0142857142857143	0.0142857142857143	0	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0	0	0.0142857142857143	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_fuscescens"	0.02	0.02	0.02	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_minimus"	0.025	0	0.025	0	0.025	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Habia_fuscicauda"	0	0	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Schiffornis_turdinus"	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Empidonax_virescens"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mionectes_oleagineus"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trogon_rufus"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
