"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"R1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0
"R2"	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.0333333333333333	0.0333333333333333	0
"R3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
"R4"	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0.0333333333333333	0.0333333333333333	0
"R5"	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0.0333333333333333	0.0333333333333333	0
"R6"	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667
"R7"	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0	0.025	0.025	0
"R8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0
"R9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
"R10"	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667
"C1"	0	0	0	0.02	0.02	0.02	0.02	0	0	0.02	0	0	0	0	0	0
"C2"	0	0.025	0	0	0	0.025	0.025	0	0	0.025	0	0	0	0	0	0
"C3"	0	0	0	0	0	0.05	0	0	0	0.05	0	0	0	0	0	0
"C4"	0.0125	0.0125	0	0.0125	0.0125	0.0125	0.0125	0.0125	0	0.0125	0	0	0	0	0	0
"C5"	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0	0
"C6"	0	0	0	0	0	0.05	0	0	0	0.05	0	0	0	0	0	0
