"R1"	"R2"	"R3"	"R4"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	0	0	0	0	0	0	0	0.0333333333333333	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0
"R2"	0	0	0	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0
"R3"	0	0	0	0	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333
"R4"	0	0	0	0	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333
"C1"	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0
"C2"	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0
"C3"	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0
"C4"	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0
"C5"	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0
"C6"	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0
"C7"	0.0333333333333333	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0
"C8"	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0
"C9"	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0
"C10"	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0
"C11"	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0
"C12"	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0
