"Leptospermum_scoparium"	"Hebe_subalpina"	"Celmisia_spectabilis"	"Cassinia_vauvilliersii"	"Celmisia_discolor"	"Helichrysum_selago"	"Pratia_angulata"	"Celmisia_petiolata"	"Galium_propinquum"	"Hebe_pinguifolia"	"Raoulia_subsericea"	"Wahlenbergia_albomarginata"	"Pimelea_traversii"	"Celmisia_gracilenta"	"Helichrysum_bellidioides"	"Chrysanthemum_leucanthemum"	"Craspedia_uniflora"	"Dracophyllum_pronum"	"Euphrasia_revoluta"	"Muehlenbeckia_axillaris"	"Phyllachne_colensoi"	"Hebe_epacridea"	"Hieracium_praealtum"	"Leucogenes_grandiceps"	"Parahebe_decora"	"Brachycome_sinlcairii"	"Drapetes_dieffenbachii"	"Epilobium_sp1_M_PL_029"	"Geum_uniflorum"	"Hebe_odora"	"Aciphylla_scott-thompsoni"	"Anisotome_aromatica"	"Celmisia_laricifolia"	"Cotula_pyrethrifolia"	"Donatia_novae-zelandiae"	"Hypochaeris_radicata"	"Raoulia_grandiflora"	"Viola_cunninghamii"	"Galium_perpusillum"	"Hieracium_pilosella"	"Ranunculus_enysii"	"Celmisia_lyalii"	"Celmisia_sessiliflora"	"Euphrasia_zelandica"	"Ourisia_caespitosa"	"Anisotome_flexuosus"	"Gentiana_montana"	"Pratia_macrodon"	"Senecio_scorzoneroides"	"Melangyna_sp1_M_PL_029"	"Unidentified_sp1_M_PL_029"	"Melangyna_novaezelandiae"	"Avibrissina_isolata"	"Leioproctus_sp1_M_PL_029"	"Veluta_albicincta"	"Lasioglossum_sp1_M_PL_029"	"Leioproctus_fulvescens"	"Unidentified_sp2_M_PL_029"	"Lycaena_salustius"	"Neotachina_sp1_M_PL_029"	"Unidentified_sp3_M_PL_029"	"Adoxia_obscura"	"Avibrissina_brevivalpis"	"Peremptor_modica"	"Erythronychia_aliena"	"Eulalia_sp1_M_PL_029"	"Leioproctus_sp2_M_PL_029"	"Lycaena_boldenarium"	"Argirophenga_sp1_M_PL_029"	"Mallochomacquartia_setiventris"	"Proscissio_cana"	"Unidentified_sp4_M_PL_029"	"Zealandotachina_nigrifemorata"	"Cheilosia_sp1_M_PL_029"	"Dasyuris_anceps"	"Heteria_appendiculata"	"Heteria_plebeia"	"Hylaeus_sp1_M_PL_029"	"Lasioglossum_sordidum"	"Lepidomyia_decessum"	"Occisor_sp1_M_PL_029"	"Pasiphila_nereis"	"Proscissio_lateralis"	"Protohystricia_huttoni"	"Unidentified_sp5_M_PL_029"	"Unidentified_sp6_M_PL_029"	"Adoxia_cheesemani"	"Asaphodes_clarata"	"Calliphora_quadrimaculata"	"Calliphora_stygia"	"Cyphon_sp1_M_PL_029"	"Eristalis_tenax"	"Eudonia_sabulosella"	"Leioproctus_sp3_M_PL_029"	"Mordella_detracta"	"Musc._sp1_M_PL_029"	"Neotachina_obtusa"	"Pareromene_pyrsophanes"	"Plagiomyia_turbidum"	"Protohystirica_huttoni"	"Rygmodus_cyaneus"	"Scoparia_submarginalis"	"Unidentified_sp7_M_PL_029"	"Appis_mellifera"	"Asilis_pilicomis"	"Austrocidaria_similata"	"Bombus_terrestris"	"Calcager_nudum"	"Calliphora_icela"	"Calliphora_quadrimaculata_1"	"Cheilosia_captalis"	"Cheilosia_fulvipes"	"Chelaner_antarcticus"	"Cyphon_sp2_M_PL_029"	"Dasytes_subcyaneus"	"Declana_junctilinea"	"Gelechia_lithodes"	"Gelophaula_aenea"	"Gracilicera_setosa"	"Graphania_omoplaca"	"Helastia_cineraria"	"Helophilus_hochstetteri"	"Heteria_atripes"	"Homodotis_megaspilata"	"Hoplocneme_sp1_M_PL_029"	"Hydriomena_deltoidata"	"Hylaeus_relegatus"	"Leioproctus_boltonii"	"Leioproctus_imitatus"	"Leioproctus_maritimus"	"Leioproctus_sp4_M_PL_029"	"Leioproctus_sp5_M_PL_029"	"Medinella_flavotemorata"	"Melangyna_ortas"	"Notoreas_anthracias"	"Notoreas_cataphyrrha"	"Notoreas_mechanitis"	"Occisor_versutus"	"Orocrambus_crenaeus"	"Pales_tecta"	"Pasiphila_inductata"	"Pasiphila_sandycias"	"Pasiphila_sp1_M_PL_029"	"Peremptor_sp1_M_PL_029"	"Peristoreus_sp1_M_PL_029"	"Perrissina_brunniceps"	"Proscissio_albiceps"	"Proscissio_kumarensis"	"Proscission_sp1_M_PL_029"	"Pseudofoenus_pedunculatus"	"Rhopalomerus_sp1_M_PL_029"	"Rictonis_comma"	"Scaptia_adrel"	"Scaptia_brevipalpis"	"Scoparia_minisculalis"	"Scoparia_philerga"	"Scoparia_rotuella"	"Sestra_flexata"	"Unidentified_sp10_M_PL_029"	"Unidentified_sp8_M_PL_029"	"Unidentified_sp9_M_PL_029"	"Xenorhynchia_peeli"	"Xylota_montana"	"Zealandotachina_quadrivittata"	"Zealandotachina_subtilis"	"Zealandotachina_varipes"	"Zorion_minutum"
"Leptospermum_scoparium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00232558139534884	0.00232558139534884	0.00232558139534884	0	0	0	0	0	0	0.00232558139534884	0.00232558139534884	0	0	0	0.00232558139534884	0	0.00232558139534884	0	0	0	0	0.00232558139534884	0.00232558139534884	0.00232558139534884	0	0	0	0	0	0	0	0	0	0	0.00232558139534884	0	0	0	0	0.00232558139534884	0	0	0	0	0	0.00232558139534884	0.00232558139534884	0	0.00232558139534884	0	0	0	0.00232558139534884	0	0.00232558139534884	0	0.00232558139534884	0.00232558139534884	0	0.00232558139534884	0.00232558139534884	0	0	0	0	0	0.00232558139534884	0	0	0	0.00232558139534884	0.00232558139534884	0	0	0.00232558139534884	0	0.00232558139534884	0.00232558139534884	0.00232558139534884	0.00232558139534884	0	0	0.00232558139534884	0	0.00232558139534884	0	0	0	0	0	0	0.00232558139534884	0.00232558139534884	0.00232558139534884	0	0	0.00232558139534884	0	0	0	0	0	0.00232558139534884	0.00232558139534884	0.00232558139534884	0.00232558139534884	0.00232558139534884	0	0.00232558139534884	0	0	0	0	0	0.00232558139534884	0.00232558139534884	0	0
"Hebe_subalpina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00454545454545455	0.00454545454545455	0	0.00454545454545455	0.00454545454545455	0.00454545454545455	0	0.00454545454545455	0	0.00454545454545455	0.00454545454545455	0	0	0.00454545454545455	0	0	0	0	0	0.00454545454545455	0	0	0.00454545454545455	0.00454545454545455	0	0	0	0	0	0	0.00454545454545455	0	0	0	0.00454545454545455	0	0	0	0	0.00454545454545455	0	0	0	0	0	0	0	0.00454545454545455	0	0	0	0.00454545454545455	0	0	0	0	0	0	0.00454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00454545454545455	0	0	0	0	0	0	0	0	0	0	0.00454545454545455	0	0	0	0.00454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00454545454545455	0	0	0	0	0
"Celmisia_spectabilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0.00714285714285714	0.00714285714285714	0.00714285714285714	0.00714285714285714	0	0.00714285714285714	0.00714285714285714	0	0	0	0.00714285714285714	0.00714285714285714	0.00714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0	0.00714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0	0	0	0
"Cassinia_vauvilliersii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0.00833333333333333	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0.00833333333333333	0.00833333333333333	0	0.00833333333333333	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0
"Celmisia_discolor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0.00833333333333333	0	0	0	0.00833333333333333	0.00833333333333333	0	0	0	0	0.00833333333333333	0.00833333333333333	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0.00833333333333333	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Helichrysum_selago"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0.00833333333333333	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0.00833333333333333	0	0	0	0	0	0	0	0	0.00833333333333333	0	0.00833333333333333	0	0	0	0	0.00833333333333333	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0
"Pratia_angulata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0.00833333333333333	0	0	0	0	0	0.00833333333333333	0	0	0	0.00833333333333333	0	0	0.00833333333333333	0	0.00833333333333333	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0
"Celmisia_petiolata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0	0.01	0.01	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Galium_propinquum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.01	0	0	0	0.01	0.01	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hebe_pinguifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
