"Symplocos_prunifolia"	"Cleyera_japonica"	"Eurya_japonica"	"Schefflera_octophylla"	"Myrsine_sguinii"	"Daphniphyllum_teijsmannii"	"Myrica_rubra"	"Ardisia_sieboldii"	"Litsea_acuminata"	"Vaccinium_bracteatum"	"Neolitsea_aciculata"	"Persea_thunbergii"	"Diospyros_morrisiana"	"Prunus_jamasakura"	"Taxillus_yadoriki"	"Hypsipetes_amaurotis"	"Turdus_pallidus"	"Sphenurus_formosae"	"Zosterops_japonica"	"Columba_janthina"	"Turdus_chrysolaus"	"Ficedula_narcissina"	"Turdus_dauma"
"Symplocos_prunifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0.0166666666666667	0.0166666666666667	0
"Cleyera_japonica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0	0.0166666666666667
"Eurya_japonica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025	0	0	0	0
"Schefflera_octophylla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0	0.025	0.025	0	0	0
"Myrsine_sguinii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0	0	0	0
"Daphniphyllum_teijsmannii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0.0333333333333333	0.0333333333333333	0	0
"Myrica_rubra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.0333333333333333	0	0.0333333333333333	0	0	0
"Ardisia_sieboldii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0
"Litsea_acuminata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
"Vaccinium_bracteatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
"Neolitsea_aciculata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
"Persea_thunbergii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
"Diospyros_morrisiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0
"Prunus_jamasakura"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
"Taxillus_yadoriki"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
"Hypsipetes_amaurotis"	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0	0	0	0	0	0	0	0
"Turdus_pallidus"	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0	0.0142857142857143	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sphenurus_formosae"	0.02	0.02	0.02	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0
"Zosterops_japonica"	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Columba_janthina"	0	0.025	0	0.025	0	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turdus_chrysolaus"	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficedula_narcissina"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turdus_dauma"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
