"Sideroxylon_cinereum"	"Molinaea_alternifolia"	"Psiadia_terebinthina"	"Toddalia_asiatica"	"Bertiera_zaluzania"	"Croton_fothergillifolius"	"Stillingia_lineata"	"Homalanthus_populifolius"	"Erythroxylum_macrocarpum"	"Dodonaea_viscosa"	"Aphloia_theiformis"	"Antirhea_borbonica"	"Chassalia_coriacea"	"Trochetia_blackburniana"	"Chaetocnema_sp1_M_PL_074"	"Apis_mellifera"	"Stomorhina_lunata"	"Fannia_pusio"	"Technomyrmex_albipes"	"Dysauxes_florida"	"Lygaeidae_sp1_M_PL_074"	"Pachycerina_crinicornis"	"Brachymyrmex_sp1_M_PL_074"	"Allograpta_nasuta"	"Lygistorrhina_sp1_M_PL_074"	"Leptotes_pirithous"	"Villa_unifasciata"	"Dioxyna_sororcula"	"Ophyra_capensis"	"Musca_domestica"	"Polistes_hebraeus"	"Stomoxys_niger"	"Syritta_nigrofemorata"	"Panara_naso"	"Chrysomya_megacephala"	"Nacoleia_sp1_M_PL_074"	"Ahasverus_advena"	"Eristalinus_flaveolus"	"Syritta_bulbus"	"Episyrphus_sp1_M_PL_074"	"Gelechioidea_sp2_M_PL_074"	"Mauritiborium_undulatus"	"Orthellia_albigena"	"Pelecophora_intemipta"	"Sarcophaga_arno"	"Stomoxys_calcitrans"	"Gelechioidea_sp1_M_PL_074"	"Palexorista_sp1_M_PL_074"	"Scatopsidae_sp1_M_PL_074"	"Scirtidae_sp1_M_PL_074"	"Unidentified_sp1_M_PL_074"
"Sideroxylon_cinereum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0	0	0	0	0	0	0	0	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0	0	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0	0.0692307692307692	0	0	0.0692307692307692	0	0.0692307692307692	0	0	0	0	0	0
"Molinaea_alternifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0	0	0.0642857142857143	0	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0	0.0642857142857143	0	0	0	0	0	0	0	0	0.0642857142857143	0	0	0	0	0	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0	0.0473684210526316	0	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0.0473684210526316	0	0	0.0473684210526316	0	0.0473684210526316	0.0473684210526316	0	0	0	0	0	0	0	0	0.0473684210526316
"Toddalia_asiatica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0.1125	0	0.1125	0.1125	0	0.1125	0	0	0	0	0	0.1125	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0
"Bertiera_zaluzania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0	0.15	0	0	0	0	0.15	0	0	0	0	0	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Croton_fothergillifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0	0	0	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0	0	0.0642857142857143	0	0	0	0.0642857142857143	0	0	0	0	0	0	0	0	0.0642857142857143	0.0642857142857143	0	0	0.0642857142857143	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0	0.128571428571429	0.128571428571429	0	0	0	0.128571428571429	0.128571428571429	0	0	0	0	0	0	0	0	0	0.128571428571429	0	0	0	0	0	0	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0
"Homalanthus_populifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0.1125	0.1125	0	0	0	0	0	0.1125	0	0	0.1125	0	0	0.1125	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0
"Erythroxylum_macrocarpum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0	0.0818181818181818	0	0	0	0.0818181818181818	0.0818181818181818	0	0	0	0	0.0818181818181818	0	0.0818181818181818	0	0	0	0	0	0.0818181818181818	0	0	0	0	0	0	0	0.0818181818181818	0	0	0.0818181818181818	0	0
"Dodonaea_viscosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0.15	0	0	0	0	0.15	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0.15	0	0	0	0	0	0	0	0	0
