"Meriones_persicus"	"Meriones_libycus"	"Meriones_tristrami"	"Microtus_socialis"	"Apodemus_fulvipectus"	"Microtus_arvalis"	"Cricetulus_migratorius"	"Allactaga_elater"	"Arvicola_terrestris"	"Dryomys_nitedula"	"Xenopsylla_conformis"	"Nosopsyllus_iranus"	"Nosopsyllus_laeviceps"	"Stenoponia_tripectinata"	"Rhadinopsylla_ucrainica"	"Nosopsyllus_consimilis"	"Ctenophthalmus_secundus"	"Leptopsylla_taschenbergi"	"Amphipsylla_schelkovnikovi"	"Mesopsylla_apscheronica"	"Ctenophthalmus_bogatschevi"	"Amphipsylla_rossica"	"Ctenophthalmus_proximus"	"Nosopsyllus_mokrzeckyi"	"Myoxopsylla_jordani"	"Ceratophyllus_sciurorum"	"Callopsylla_caspia"	"Megabothris_turbidus"	"Neopsylla_pleskei"	"Stenoponia_ivanovi"
"Meriones_persicus"	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_libycus"	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_tristrami"	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_socialis"	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0	0.1	0.1	0.1	0	0.1	0	0	0.1	0	0	0	0	0.1	0	0	0
"Apodemus_fulvipectus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0.1125	0.1125	0.1125	0	0	0	0.1125	0.1125	0	0.1125	0	0.1125	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0.225	0.225	0	0	0	0	0	0	0	0.225
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0	0	0.128571428571429	0	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0	0	0	0	0	0	0	0.128571428571429	0
"Allactaga_elater"	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0	0	0	0
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0
"Xenopsylla_conformis"	0.18	0.18	0.18	0.18	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_iranus"	0.15	0.15	0.15	0.15	0	0	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_laeviceps"	0	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_tripectinata"	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_ucrainica"	0.18	0.18	0.18	0.18	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_consimilis"	0.15	0.15	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_secundus"	0.18	0.18	0	0.18	0.18	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_taschenbergi"	0	0	0	0	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_schelkovnikovi"	0	0	0	0.3	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mesopsylla_apscheronica"	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_bogatschevi"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0	0	0	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_proximus"	0	0	0	0	0.45	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_mokrzeckyi"	0	0	0	0	0.45	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myoxopsylla_jordani"	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_sciurorum"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_ivanovi"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
