"Spermophilus_undulatus"	"Marmota_sibirica"	"Lasiopodomys_brandtii"	"Alticola_semicanus"	"Allocricetulus_curtatus"	"Cricetulus_barabensis"	"Allactaga_sibirica"	"Meriones_meridianus"	"Ellobius_tancrei"	"Phodopus_sungorus"	"Microtus_gregalis"	"Eolagurus_przewalskii"	"Dipus_sagitta"	"Meriones_unguiculatus"	"Sciurus_vulgaris"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Citellophilus_tesquorum"	"Oropsylla_silantiewi"	"Amphipsylla_primaris"	"Frontopsylla_elatoides"	"Rhadinopsylla_li"	"Oropsylla_alaskensis"	"Neopsylla_mana"	"Frontopsylla_hetera"	"Paradoxopsyllus_dashidorzhii"	"Neopsylla_pleskei"	"Paradoxopsyllus_scorodumovi"	"Amphipsylla_vinogradovi"	"Amalaraeus_penicilliger"	"Paramonopsyllus_scalonae"	"Frontopsylla_elata"	"Ctenophyllus_hirticrus"	"Nosopsyllus_laeviceps"	"Rhadinopsylla_dahurica"	"Ophthalmopsylla_praefecta"	"Neopsylla_abagaitui"	"Frontopsylla_wagneri"	"Ophthalmopsylla_kiritschenkovi"	"Amphipsylla_dumalis"	"Neopsylla_bidentatiformis"	"Amphipsylla_longispina"	"Callopsylla_caspia"	"Pectinoctenus_pavlovskii"	"Neopsylla_galea"	"Amphalius_runatus"	"Paradoxopsyllus_kalabukhovi"	"Wagnerina_longicauda"	"Paradoxopsyllus_integer"	"Tarsopsylla_octodecimdentata"	"Rhadinopsylla_rothschildi"	"Amphipsylla_kuznetzovi"	"Ceratophyllus_indages"	"Megabothris_rectangulatus"	"Rhadinopsylla_altaica"	"Rhadinopsylla_pseudodahurica"	"Xenopsylla_conformis"
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Citellophilus_tesquorum"	0.225	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_silantiewi"	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_primaris"	0.1125	0.1125	0.1125	0.1125	0.1125	0	0	0	0	0.1125	0.1125	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elatoides"	0.45	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_li"	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_alaskensis"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
