"Ictalurus_punctatus"	"Rhinichthys_osculus"	"Gila_cypha"	"Pimephales_promelas"	"Fundulus_zebrinus"	"Catostomus_discobolus"	"Oncorhynchus_mykiss"	"Cyprinella_lutrensis"	"Catostomus_latipinnis"	"Cyprinus_carpio"	"Ameiurus_natalis"	"Bothriocephalus_acheilognathi"	"Ornithodiplostomum_sp."	"Lernaea_cyprinacea"	"Contracaecum_sp."	"Rhabdochona_sp."	"Unidenti?ed_metacercaria"	"Corallobothriinae"	"Posthodiplostomum_sp."	"Eustrongylides_sp."	"Oribatida_gen._sp."	"Henneguya_exilis"	"Ligictaluridus_?oridanus"	"Dactylogyrus_extensus"	"Gyrodactylus_hoffmani"	"Corallobothrium_?mbriatum"	"Megathylacoides_giganteum"	"Truttaedacnitis_truttae"	"Ergasilus_arthrosis"	"Myzobdella_lugubris"	"Gyrodactylus_sp."
"Ictalurus_punctatus"	0	0	0	0	0	0	0	0	0	0	0	0.0818181818181818	0.0818181818181818	0	0.0818181818181818	0	0	0.0818181818181818	0	0.0818181818181818	0	0.0818181818181818	0.0818181818181818	0	0	0.0818181818181818	0.0818181818181818	0	0.0818181818181818	0.0818181818181818	0
"Rhinichthys_osculus"	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0.1
"Gila_cypha"	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0
"Pimephales_promelas"	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0	0	0	0	0	0.225	0	0	0	0	0	0.225	0	0	0	0	0	0
"Fundulus_zebrinus"	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0.225	0	0.225	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0
"Catostomus_discobolus"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oncorhynchus_mykiss"	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0
"Cyprinella_lutrensis"	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catostomus_latipinnis"	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyprinus_carpio"	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0
"Ameiurus_natalis"	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bothriocephalus_acheilognathi"	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornithodiplostomum_sp."	0.15	0.15	0.15	0.15	0	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lernaea_cyprinacea"	0	0.18	0.18	0	0.18	0	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Contracaecum_sp."	0.225	0.225	0	0	0	0	0	0.225	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhabdochona_sp."	0	0.3	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidenti?ed_metacercaria"	0	0.3	0.3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corallobothriinae"	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Posthodiplostomum_sp."	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eustrongylides_sp."	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oribatida_gen._sp."	0	0.45	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Henneguya_exilis"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ligictaluridus_?oridanus"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dactylogyrus_extensus"	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gyrodactylus_hoffmani"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corallobothrium_?mbriatum"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megathylacoides_giganteum"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Truttaedacnitis_truttae"	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ergasilus_arthrosis"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myzobdella_lugubris"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gyrodactylus_sp."	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
