"R1"	"R2"	"R3"	"R4"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	0	0	0	0	0	0	0	0.3	0	0.3	0.3	0	0	0	0	0
"R2"	0	0	0	0	0	0	0	0.45	0	0.45	0	0	0	0	0	0
"R3"	0	0	0	0	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075
"R4"	0	0	0	0	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075
"C1"	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0
"C2"	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0
"C3"	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0
"C4"	0.225	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0
"C5"	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0
"C6"	0.225	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0
"C7"	0.3	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0
"C8"	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0
"C9"	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0
"C10"	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0
"C11"	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0
"C12"	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0
