"Bouteloua_gracilis"	"Buchloe_dactyloides"	"Croton_pottsii"	"Leptaloma_cognata"	"Iva_dealbata"	"Scleropogon_brevifolius"	"Unidentified_sp4_A_PH_004"	"Convolvulus_equitans"	"Unidentified_sp5_A_PH_004"	"Unidentified_sp1_A_PH_004"	"Xanthocephalum_texanum"	"Bouteloua_hirsuta"	"Muhlenbergia_sp1_A_PH_004"	"Ratibida_columnaris"	"Unidentified_sp3_A_PH_004"	"Unidentified_sp6_A_PH_004"	"Unidentified_sp8_A_PH_004"	"Condalia_ericoides"	"Conyza_coulteri"	"Eragrostis_intermedia"	"Linum_rigidum"	"Sporobolus_sp1_A_PH_004"	"Unidentified_sp7_A_PH_004"	"Ziziphus_obtusifolius"	"Calyophus_hartwegii"	"Gaura_coccinea"	"Gilia_rigida"	"Hoffmannseggia_glauca"	"Machaeranthera_scabrella"	"Setaria_leucopila"	"Unidentified_sp13_A_PH_004"	"Unidentified_sp15_A_PH_004"	"Unidentified_sp9_A_PH_004"	"Zinnia_grandiflora"	"Aristida_hamulosa"	"Bouteloua_curtipendula"	"Cryptantha_mexicana"	"Dyschoriste_linearis"	"Eupatorium_greggii"	"Oenothera_sp1_A_PH_004"	"Panicum_obtusum"	"Polygala_longa"	"Prosopis_glandulosa"	"Unidentified_sp10_A_PH_004"	"Unidentified_sp11_A_PH_004"	"Unidentified_sp12_A_PH_004"	"Unidentified_sp14_A_PH_004"	"Unidentified_sp16_A_PH_004"	"Unidentified_sp17_A_PH_004"	"Unidentified_sp2_A_PH_004"	"Verbena_wrightii"	"Xanthocephalum_sp1_A_PH_004"	"Dactylotum_variegatum"	"Melanoplus_desultorius"	"Melanoplus_gladstoni"	"Trimerotropis_pallidipennis"	"Melanoplus_lakinus"	"Melanoplus_glaucipes"	"Phoetaliotes_nebrascensis"	"Campylacantha_olivacea"	"Melanoplus_arizonae"	"Cordillacris_crenulata"	"Arphia_crassa"	"Boopedon_nubilum"	"Eritettix_variabilis"	"Leprus_cyaneus"	"Opeia_obscura"	"Psoloessa_texana"	"Trachyrachys_kiowa"	"Ageneotettix_deorum"	"Aulocara_femoratum"	"Philbostroma_quadrimaculatum"	"Syrbula_fuscovittata"	"Tropidolophus_formosus"
"Bouteloua_gracilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0
"Buchloe_dactyloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0.06	0	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0
"Croton_pottsii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0	0	0	0.0692307692307692	0.0692307692307692	0	0	0.0692307692307692	0	0	0	0.0692307692307692
"Leptaloma_cognata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0818181818181818	0	0	0	0	0	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0
"Iva_dealbata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0	0	0.128571428571429	0.128571428571429	0	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0	0.128571428571429	0	0	0	0	0	0	0	0	0
"Scleropogon_brevifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0	0.128571428571429	0	0.128571428571429	0.128571428571429	0	0.128571428571429	0.128571428571429	0.128571428571429	0
"Unidentified_sp4_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0
"Convolvulus_equitans"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0.15	0.15	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0	0.15	0	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0	0.18	0.18	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xanthocephalum_texanum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0.18	0	0	0.18	0	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bouteloua_hirsuta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0	0	0	0	0	0	0.225	0	0	0
"Muhlenbergia_sp1_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0.225	0	0.225	0	0	0	0	0.225	0	0
