"Salix_fragilis"	"Vaccinium_myrtilloides"	"Ledum_groenlandicum"	"Nemopanthus_mucronata"	"Gaylussacia_baccata"	"Spiraea_alba"	"Chamaedaphne_calyculata"	"Aronia_melanocarpa"	"Kalmia_polifolia"	"Kalmia_angustifolia"	"Calopogon_pulchellus"	"Smilacina_trifolia"	"Andromeda_glaucophylla"	"Dilophus_caurinus"	"Andrena_vicina"	"Bombus_terricola"	"Colletes_inaequalis"	"Andrena_regularis"	"Pyrobombus_ternarius"	"Andrena_bradleyi"	"Cyphon_variabilis"	"Andrena_mandibularis"	"Pyrobombus_sandersoni"	"Sercomyia_transversa"	"Pyrobombus_impatiens"	"Melanostoma_sp1_M_PL_033"	"Apis_mellifera"	"Pyrobombus_perplexus"	"Adela_purpurea"	"Helophilus_latifrons"	"Syritta_pipiens"	"Eristalis_dimidiata"	"Andrena_carolina"	"Macrodactlyus_subspinosus"	"Shaerophoria_sp1_M_PL_033"	"Hybomitra_typhus"	"Syrphus_torvus"	"Toxomerus_marginatus"	"Spilogona_fatima"	"Dialictus_pilosus"	"Hybomitra_minuscula"	"Andrena_alleghaniensis"	"Andrena_carlini"	"Helophilus_fasciatus"	"Pyrophaena_rosarum"	"Helophilus_laetus"	"Thymelicus_lineola"
"Salix_fragilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0	0	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0	0	0.0692307692307692	0	0	0	0	0	0.0692307692307692	0	0	0	0.0692307692307692	0	0	0	0
"Vaccinium_myrtilloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0	0	0	0	0.0642857142857143	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0	0	0
"Ledum_groenlandicum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0	0	0	0	0.05	0	0.05	0.05	0	0.05	0	0	0	0	0	0	0.05	0.05	0.05	0.05	0.05	0
"Nemopanthus_mucronata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0	0	0.0692307692307692	0.0692307692307692	0	0	0.0692307692307692	0	0	0	0.0692307692307692	0.0692307692307692	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0	0
"Gaylussacia_baccata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0	0	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0	0	0.0642857142857143	0	0	0	0	0	0	0	0.0642857142857143	0	0	0
"Spiraea_alba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0.075	0	0	0	0.075	0	0.075	0	0	0.075	0	0	0.075	0.075	0	0.075	0	0	0	0	0	0	0.075	0	0	0	0.075	0.075	0.075
"Chamaedaphne_calyculata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0	0.0692307692307692	0	0	0	0.0692307692307692	0.0692307692307692	0	0	0
"Aronia_melanocarpa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05625	0	0.05625	0.05625	0.05625	0	0	0	0.05625	0	0	0.05625	0	0.05625	0	0.05625	0.05625	0.05625	0	0	0.05625	0	0.05625	0	0	0.05625	0	0.05625	0	0.05625	0	0.05625	0
"Kalmia_polifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0818181818181818	0	0	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0.0818181818181818	0.0818181818181818	0	0	0	0	0	0	0	0	0	0	0	0.0818181818181818	0	0	0	0	0	0	0
"Kalmia_angustifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0.1125	0.1125	0.1125	0	0	0	0	0	0	0.1125	0	0	0	0	0.1125	0	0	0	0	0	0	0	0.1125	0.1125	0	0
