"Microtus_oeconomus"	"Sorex_arcticus"	"Clethrionomys_rutilus"	"Sorex_caecutiens"	"Sorex_roboratus"	"Neomys_fodiens"	"Lemmus_sibiricus"	"Clethrionomys_rufocanus"	"Arvicola_terrestris"	"Microtus_middendorffi"	"Sorex_minutus"	"Corrodopsylla_birulai"	"Peromyscopsylla_bidentata"	"Megabothris_rectangulatus"	"Amphipsylla_sibirica"	"Amalaraeus_penicilliger"	"Catallagia_dacenkoi"	"Megabothris_calcarifer"	"Catallagia_ioffi"	"Rhadinopsylla_integella"	"Amphalius_runatus"
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0
"Sorex_arcticus"	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0	0.128571428571429	0.128571428571429
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0.128571428571429	0	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0.15	0	0.15	0	0	0.15	0
"Sorex_roboratus"	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0.18	0.18	0	0.18	0	0	0.18	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0.3	0	0	0	0	0	0
"Lemmus_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0.45	0	0	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0	0.1125	0	0.1125
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0.3	0	0	0	0	0	0
"Microtus_middendorffi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0	0.09	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.18	0.18	0.18	0.18	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0	0.1125	0.1125	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0.1	0.1	0.1	0.1	0.1	0.1	0	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.225	0	0.225	0	0	0	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.18	0.18	0	0.18	0.18	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0	0	0.45	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0	0.3	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphalius_runatus"	0	0.45	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0
