"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Palicourea_corymbifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Azteca_sp8"	"Crematogaster_brasiliensis"	"Crema_limata"	"Camponotus_femoratus"	"Pachycondila_unidentata"	"Solenopsis_sp5"
"Cordia_nodosa"	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0
"Hirtella_myrmecophila"	0	0	0	0	0	0	0	0	0	0.0947368421052632	0	0	0	0	0	0.00526315789473684	0	0	0	0	0
"Maieta_guianensis"	0	0	0	0	0	0	0	0	0	0	0.0888888888888889	0	0.0111111111111111	0	0	0	0	0	0	0	0
"Myrcia_madida"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
"Hirtella_physophora"	0	0	0	0	0	0	0	0	0	0.0888888888888889	0	0	0	0	0.0111111111111111	0	0	0	0	0	0
"Tococa_bullifera"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
"Tachigalia_spp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
"Palicourea_corymbifera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0333333333333333	0	0.0333333333333333	0.0166666666666667
"Azteca_r.am.1"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allomerus_octoarticulatus"	0	0.0692307692307692	0	0	0.0307692307692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pheidole_minutula"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myrcidris_sp."	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	0.0666666666666667	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allomerus_septemarticulatus"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Azteca_sp8"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Crematogaster_brasiliensis"	0.05	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
"Crema_limata"	0.0333333333333333	0	0	0	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
"Camponotus_femoratus"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycondila_unidentata"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Solenopsis_sp5"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
