"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Palicourea_corymbifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Azteca_sp8"	"Crematogaster_brasiliensis"	"Crema_limata"	"Camponotus_femoratus"	"Pachycondila_unidentata"	"Solenopsis_sp5"
"Cordia_nodosa"	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0.0833333333333333	0	0
"Hirtella_myrmecophila"	0	0	0	0	0	0	0	0	0	0.473684210526316	0	0	0	0	0	0.0263157894736842	0	0	0	0	0
"Maieta_guianensis"	0	0	0	0	0	0	0	0	0	0	0.444444444444444	0	0.0555555555555556	0	0	0	0	0	0	0	0
"Myrcia_madida"	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
"Hirtella_physophora"	0	0	0	0	0	0	0	0	0	0.444444444444444	0	0	0	0	0.0555555555555556	0	0	0	0	0	0
"Tococa_bullifera"	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Tachigalia_spp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
"Palicourea_corymbifera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.166666666666667	0	0.166666666666667	0.0833333333333333
"Azteca_r.am.1"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allomerus_octoarticulatus"	0	0.346153846153846	0	0	0.153846153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pheidole_minutula"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myrcidris_sp."	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	0.333333333333333	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allomerus_septemarticulatus"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Azteca_sp8"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Crematogaster_brasiliensis"	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
"Crema_limata"	0.166666666666667	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
"Camponotus_femoratus"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycondila_unidentata"	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Solenopsis_sp5"	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
